detector,auc_mean,auc_sd,n,auc_ds_mean,auc_ds_sd,n_ds
oracle,0.8778093062667258,0.0990990230137227,150,0.8776587062199454,0.04047316341394796,15
rf_std,0.7223281038571303,0.046075885303589297,150,0.7223281038571303,0.03205562872409514,15
naive_proxy,0.6405281433215834,0.15468739708874119,150,0.6398318109398191,0.071193780209612,15
d_iqr,0.6194155575383595,0.06756119033649488,150,0.6194155575383596,0.030219808658859645,15
d_nb,0.6178101072221693,0.07795121174980818,150,0.6178101072221693,0.061728404535348724,15
d_nn_sim,0.6136332102660941,0.06401254801871879,150,0.6136332102660941,0.038380464246995726,15
d_wstd,0.586401120773803,0.07223618290581814,150,0.586401120773803,0.04768074498510082,15
d_std,0.5827828724545521,0.07210759737700076,150,0.582782872454552,0.04776275783823995,15
d_range,0.5422147911393959,0.07782306349290832,150,0.5422147911393959,0.055007413468266035,15
d_pair_gap,0.454896902521645,0.06482649587647923,150,0.454896902521645,0.04348893029387713,15
