method,comparison,n_pairs,delta_mean,delta_ci_lo,delta_ci_hi,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_ci_lo,meta_ci_hi,meta_p,meta_I2
mondrian_iqr,最差组覆盖率(按标签离散度分箱),150,0.040680921946396546,0.035082665462433826,0.046279178430359266,1.559329946428322e-21,15,15,0.04006706200563528,0.03256172236074503,0.04757240165052552,1.2719474864779937e-25,68.84943683009033
mondrian_iqr,最差组覆盖率(按树间方差分箱),150,0.042836643689691874,0.036589863075850416,0.04908342430353333,8.09262257646908e-21,15,15,0.04067863406453717,0.033867371961009134,0.04748989616806521,1.192682653451365e-31,36.164762701509865
mondrian_iqr,"平均区间宽度(代价, - 更好)",150,0.03896839185783416,0.02138303004975442,0.056553753665913906,0.0002717471237103386,10,15,0.03199900692039427,0.0050706975987278614,0.058927316242060684,0.019855089820733723,76.19213781255904
mondrian_iqr,机制悬崖组覆盖率,150,0.0011090192160575628,-0.015508431252475266,0.017726469684590393,0.838200015576202,7,15,0.0016637489230688822,-0.015812374731471283,0.019139872577609046,0.8519786092586219,50.88926210412082
mondrian_iqr,边缘覆盖率(有效性),150,0.004624759704802691,0.0021858840316900507,0.007063635377915331,0.0012453018398392497,10,15,0.003009549088042412,0.0004776933155454387,0.005541404860539386,0.019816752708790266,39.00368898927218
mondrian_nb,最差组覆盖率(按标签离散度分箱),150,0.013930054733128904,0.008547457298581414,0.019312652167676393,2.4725078111476706e-06,14,15,0.011711305451744682,0.005688751122368967,0.017733859781120395,0.0001382009771155802,51.94240721850334
mondrian_nb,最差组覆盖率(按树间方差分箱),150,0.03481925694308088,0.02887116597635172,0.040767347909810035,6.0853050111304385e-18,15,15,0.03487292516313553,0.025655441038204732,0.04409040928806633,1.2129782982014198e-13,69.49047620347416
mondrian_nb,"平均区间宽度(代价, - 更好)",150,0.055283993511907235,0.038110927287236855,0.07245705973657762,1.1275410381442051e-08,11,15,0.05330476247867936,0.0207882082976125,0.08582131665974621,0.0013133314197907634,85.326658940754
mondrian_nb,机制悬崖组覆盖率,150,-0.041319304480332046,-0.05757713928468802,-0.025061469675976073,6.187466045280852e-07,2,15,-0.039704408740255846,-0.05871813972527812,-0.02069067775523357,4.260751238021029e-05,56.87116900883029
mondrian_nb,边缘覆盖率(有效性),150,0.005105672551291022,0.0028447381173617404,0.007366606985220303,2.5897720549438827e-05,13,15,0.004271775708782066,0.001962121431240203,0.006581429986323929,0.0002888725662338624,38.09886927818912
mondrian_nnsim,最差组覆盖率(按标签离散度分箱),150,0.010037342696645754,0.005620317046184038,0.01445436834710747,5.143098081570737e-05,12,15,0.009116591882364045,0.002847913026361177,0.015385270738366912,0.004365819249497473,67.28120445273446
mondrian_nnsim,最差组覆盖率(按树间方差分箱),150,0.019750812394509983,0.01429660162950545,0.025205023159514516,2.8944434175664685e-11,14,15,0.018715430870175558,0.01256274990556977,0.024868111834781347,2.4917891696870287e-09,46.45914806457011
mondrian_nnsim,"平均区间宽度(代价, - 更好)",150,0.07041411296106166,0.05396344348636559,0.08686478243575774,8.970604227679331e-14,13,15,0.0667287266276687,0.03685498392382973,0.09660246933150766,1.1975388229869703e-05,85.84279640480288
mondrian_nnsim,机制悬崖组覆盖率,150,0.01920645529438633,0.002847428279683026,0.03556548230908963,0.03223832550615604,9,15,0.015295791872575898,-0.010337751110197932,0.040929334855349726,0.2421814509581649,74.40538014930928
mondrian_nnsim,边缘覆盖率(有效性),150,0.004286425561202854,0.002129362087666612,0.006443489034739096,0.00038822804843936917,12,15,0.003871130999480883,0.0015357283615737706,0.006206533637387995,0.001158649062540837,43.30674836042566
mondrian_pair,最差组覆盖率(按标签离散度分箱),150,0.0019012031439000492,-0.0006900651502708757,0.004492471438070974,0.13696103203601623,10,15,0.0009712184002453115,-0.0010660550535338655,0.0030084918540244886,0.350107785457639,23.405517167662023
mondrian_pair,最差组覆盖率(按树间方差分箱),150,0.004001967600091195,0.0012809922241735078,0.006722942976008882,0.0028712436185429073,12,15,0.0028948255816550026,0.0007061730602441248,0.00508347810306588,0.009530947449630652,5.843611263226251
mondrian_pair,"平均区间宽度(代价, - 更好)",150,0.026173775415860374,0.01765842877255814,0.03468912205916261,2.056986949596811e-09,15,15,0.018522593376196085,0.012590416779950073,0.024454769972442097,9.3638511483047e-10,15.111150138072956
mondrian_pair,机制悬崖组覆盖率,150,-0.0024545818992610323,-0.012803109744510922,0.007893945945988856,0.40738604771297715,6,15,-0.0019706074740190984,-0.013629256043095585,0.00968804109505739,0.7404256407241363,60.51318474010389
mondrian_pair,边缘覆盖率(有效性),150,0.0017444905662740461,0.0004900537154295189,0.0029989274171185734,0.0014412595758875359,11,15,0.0012661484115932408,0.0003706094928542761,0.0021616873303322054,0.0055862861997508,22.078732748184844
mondrian_pairgap,最差组覆盖率(按标签离散度分箱),150,0.01238320501429898,0.00883702885125208,0.01592938117734588,6.625912330852577e-10,13,15,0.01070063747945896,0.005793542902880686,0.015607732056037233,1.9193958672808564e-05,73.35155079733026
mondrian_pairgap,最差组覆盖率(按树间方差分箱),150,0.015315310312331513,0.01067749926886422,0.019953121355798804,6.516466528624507e-09,14,15,0.01436751355915411,0.009392882955387604,0.019342144162920617,1.506799477347581e-08,38.90731686708122
mondrian_pairgap,"平均区间宽度(代价, - 更好)",150,0.059405568708805395,0.047298063564790264,0.07151307385282052,1.0903742340682612e-15,15,15,0.05599223177618872,0.037858787632092286,0.07412567592028516,1.430011517550292e-09,70.98890588859857
mondrian_pairgap,机制悬崖组覆盖率,150,-0.006341166233905891,-0.018348095605893216,0.005665763138081433,0.23328996070476282,6,15,-0.006059106174929012,-0.021133040801272825,0.009014828451414802,0.4307903220271373,57.67738799711864
mondrian_pairgap,边缘覆盖率(有效性),150,0.004147347463664536,0.0023648750365253208,0.0059298198908037504,4.633281582203944e-06,13,15,0.003909851416687515,0.00250144955302843,0.0053182532803466,5.294130796007465e-08,3.087254330754905
mondrian_rfstd,最差组覆盖率(按标签离散度分箱),150,0.0441372157779175,0.03829057848667616,0.04998385306915884,1.1613902972814519e-22,15,15,0.04286338431796875,0.03595637904271096,0.04977038959322654,4.872673075150892e-34,43.24362396675285
mondrian_rfstd,最差组覆盖率(按树间方差分箱),150,0.0778271060550072,0.06792969408177968,0.08772451802823472,2.6683499627359795e-21,15,15,0.08005191222296561,0.062405328966139324,0.0976984954797919,6.037705144560815e-19,78.7074881203161
mondrian_rfstd,"平均区间宽度(代价, - 更好)",150,-0.032840477221284366,-0.05447086389789833,-0.011210090544670401,0.001022152798285123,5,15,-0.03948747491609402,-0.0740937772134199,-0.004881172618768137,0.025321957213873324,78.13488255250411
mondrian_rfstd,机制悬崖组覆盖率,150,-0.052607137038635086,-0.07102944316087732,-0.03418483091639285,2.42612335162125e-07,1,15,-0.04991968723042025,-0.07307510611911142,-0.026764268341729083,2.384398869391454e-05,51.47540091271087
mondrian_rfstd,边缘覆盖率(有效性),150,0.004638022353744591,0.0016602203235554997,0.007615824383933683,0.005827128292863489,12,15,0.0033814441010203288,0.00036459355372178313,0.006398294648318875,0.02802968516665643,29.158693647630418
mondrian_std,最差组覆盖率(按标签离散度分箱),150,0.04139478499476982,0.03410831644114336,0.04868125354839628,7.468772177891798e-19,14,15,0.03932510131123541,0.027115428617506657,0.05153477400496416,2.740349155214504e-10,78.3130398406521
mondrian_std,最差组覆盖率(按树间方差分箱),150,0.03890035403616274,0.03261610452545685,0.045184603546868624,2.147009098746345e-20,15,15,0.03751764421476852,0.02901333521474253,0.046021953214794506,5.298967329978607e-18,61.620439896796384
mondrian_std,"平均区间宽度(代价, - 更好)",150,0.035311222924113664,0.018134510168254975,0.052487935679972356,0.0006061943499219566,8,15,0.028542412356723806,0.0021433368750650855,0.05494148783838253,0.034079304732381036,84.75400142733346
mondrian_std,机制悬崖组覆盖率,150,0.014734250200511561,0.00063695008457418,0.02883155031644894,0.045432073802909534,11,15,0.012182543353702063,0.0008711535328867204,0.023493933174517406,0.03477655935792904,28.227837786242855
mondrian_std,边缘覆盖率(有效性),150,0.004470270232168808,0.0020954281767149386,0.006845112287622677,0.003000645837987817,12,15,0.0034878356539063252,0.00038644704329725103,0.0065892242645153995,0.027508534145994475,66.26496282445301
mondrian_wstd,最差组覆盖率(按标签离散度分箱),150,0.03953749749124336,0.03218118107603788,0.046893813906448846,4.2661935731330964e-17,14,15,0.037693475724390565,0.025373684084874323,0.05001326736390681,2.012551287974153e-09,77.40717958291323
mondrian_wstd,最差组覆盖率(按树间方差分箱),150,0.04074696306004725,0.034681739140542386,0.04681218697955211,1.0839824467994253e-21,15,15,0.03883073163047783,0.03063024455467386,0.0470312187062818,1.67988830048384e-20,63.487103944894066
mondrian_wstd,"平均区间宽度(代价, - 更好)",150,0.03344563656581734,0.01595331596959195,0.050937957162042725,0.0038481690133676254,8,15,0.025562944842513705,-0.0008668656376308731,0.051992755322658284,0.0579978222631552,84.87914802328336
mondrian_wstd,机制悬崖组覆盖率,150,0.015208090516222695,0.0015780904842503593,0.02883809054819503,0.031933342608063214,11,15,0.010942661367441972,0.0008200486723119321,0.021065274062572012,0.03410883860029379,2.3298058460369475
mondrian_wstd,边缘覆盖率(有效性),150,0.0043529865591985135,0.002047473377901384,0.006658499740495643,0.002000197816129345,10,15,0.0034613132135823794,3.205600027761293e-05,0.006890570426887146,0.04789242862846198,73.86880568187512
