dataset,method,tau_q,group,n,under_rate,over_rate,miscoverage,width
CHEMBL204_Ki,global,0.5,cliff,146,0.1780821917808219,0.04794520547945205,0.22602739726027396,2.688917915366388
CHEMBL204_Ki,global,0.5,noncliff,2615,0.06615678776290632,0.014149139579349905,0.08030592734225621,2.6708546796091346
CHEMBL204_Ki,global,0.5,all,2761,0.0720753350235422,0.01593625498007968,0.08801159000362188,2.6718098525249476
CHEMBL204_Ki,global,0.75,cliff,65,0.3076923076923077,0.0,0.3076923076923077,2.6624363406644562
CHEMBL204_Ki,global,0.75,noncliff,1313,0.11119573495811119,0.0007616146230007616,0.11195734958111196,2.674503248334781
CHEMBL204_Ki,global,0.75,all,1378,0.1204644412191582,0.000725689404934688,0.12119013062409288,2.6739340545767463
CHEMBL204_Ki,global,0.9,cliff,30,0.5666666666666667,0.0,0.5666666666666667,2.668159998585321
CHEMBL204_Ki,global,0.9,noncliff,521,0.1765834932821497,0.0,0.1765834932821497,2.681532733151477
CHEMBL204_Ki,global,0.9,all,551,0.19782214156079855,0.0,0.19782214156079855,2.680804635080724
CHEMBL204_Ki,mondrian_wstd,0.5,cliff,146,0.15753424657534246,0.0410958904109589,0.19863013698630136,2.9976176173385416
CHEMBL204_Ki,mondrian_wstd,0.5,noncliff,2615,0.05812619502868069,0.010325047801147227,0.06845124282982791,2.841377607846411
CHEMBL204_Ki,mondrian_wstd,0.5,all,2761,0.0633828323071351,0.01195219123505976,0.07533502354219486,2.849639484480185
CHEMBL204_Ki,mondrian_wstd,0.75,cliff,65,0.27692307692307694,0.0,0.27692307692307694,3.165053026487983
CHEMBL204_Ki,mondrian_wstd,0.75,noncliff,1313,0.0891089108910891,0.002284843869002285,0.0913937547600914,3.0180055851527423
CHEMBL204_Ki,mondrian_wstd,0.75,all,1378,0.09796806966618288,0.0021770682148040637,0.10014513788098693,3.0249417852157254
CHEMBL204_Ki,mondrian_wstd,0.9,cliff,30,0.5333333333333333,0.0,0.5333333333333333,3.1625999532880855
CHEMBL204_Ki,mondrian_wstd,0.9,noncliff,521,0.1324376199616123,0.0,0.1324376199616123,3.0935691199356516
CHEMBL204_Ki,mondrian_wstd,0.9,all,551,0.1542649727767695,0.0,0.1542649727767695,3.097327604510195
CHEMBL204_Ki,mondrian_rfstd,0.5,cliff,146,0.1917808219178082,0.0684931506849315,0.2602739726027397,2.793999217949748
CHEMBL204_Ki,mondrian_rfstd,0.5,noncliff,2615,0.05583173996175908,0.014149139579349905,0.06998087954110899,2.7561392256689015
CHEMBL204_Ki,mondrian_rfstd,0.5,all,2761,0.06302064469395147,0.017022817819630567,0.08004346251358203,2.7581412390238462
CHEMBL204_Ki,mondrian_rfstd,0.75,cliff,65,0.27692307692307694,0.015384615384615385,0.2923076923076923,3.1112046377463605
CHEMBL204_Ki,mondrian_rfstd,0.75,noncliff,1313,0.0715917745620716,0.00456968773800457,0.07616146230007616,2.9491937962753703
CHEMBL204_Ki,mondrian_rfstd,0.75,all,1378,0.08127721335268505,0.0050798258345428155,0.08635703918722787,2.9568358170994733
CHEMBL204_Ki,mondrian_rfstd,0.9,cliff,30,0.5,0.0,0.5,3.13549164212623
CHEMBL204_Ki,mondrian_rfstd,0.9,noncliff,521,0.10940499040307101,0.0,0.10940499040307101,3.118196392181663
CHEMBL204_Ki,mondrian_rfstd,0.9,all,551,0.1306715063520871,0.0,0.1306715063520871,3.1191380573329095
CHEMBL204_Ki,mondrian_nb,0.5,cliff,146,0.1780821917808219,0.0547945205479452,0.2328767123287671,2.7819360940728393
CHEMBL204_Ki,mondrian_nb,0.5,noncliff,2615,0.06998087954110899,0.015296367112810707,0.0852772466539197,2.74321642138782
CHEMBL204_Ki,mondrian_nb,0.5,all,2761,0.07569721115537849,0.017385005432814196,0.09308221658819268,2.745263894119444
CHEMBL204_Ki,mondrian_nb,0.75,cliff,65,0.3076923076923077,0.0,0.3076923076923077,2.724363646382924
CHEMBL204_Ki,mondrian_nb,0.75,noncliff,1313,0.11576542269611577,0.002284843869002285,0.11805026656511805,2.7480579973054033
CHEMBL204_Ki,mondrian_nb,0.75,all,1378,0.12481857764876633,0.0021770682148040637,0.1269956458635704,2.7469403392430225
CHEMBL204_Ki,mondrian_nb,0.9,cliff,30,0.5333333333333333,0.0,0.5333333333333333,2.8078384639200107
CHEMBL204_Ki,mondrian_nb,0.9,noncliff,521,0.19385796545105566,0.0,0.19385796545105566,2.7241550426187553
CHEMBL204_Ki,mondrian_nb,0.9,all,551,0.21234119782214156,0.0,0.21234119782214156,2.7287113087513104
CHEMBL214_Ki,global,0.5,cliff,149,0.3288590604026846,0.013422818791946308,0.3422818791946309,2.24281275572344
CHEMBL214_Ki,global,0.5,noncliff,3177,0.08498583569405099,0.0025180988353792886,0.08750393452943028,2.2483620828495763
CHEMBL214_Ki,global,0.5,all,3326,0.09591100420926037,0.003006614552014432,0.0989176187612748,2.2481134810029753
CHEMBL214_Ki,global,0.75,cliff,96,0.4583333333333333,0.0,0.4583333333333333,2.2496972419405377
CHEMBL214_Ki,global,0.75,noncliff,1569,0.14659018483110262,0.0,0.14659018483110262,2.2460887398644362
CHEMBL214_Ki,global,0.75,all,1665,0.16456456456456456,0.0,0.16456456456456456,2.246296797641797
