rule,flag_frac,failure_recall
AD 规则（预警最疏的）,0.05,0.16193021947101857
AD 规则（预警最疏的）,0.1,0.24043331457512662
AD 规则（预警最疏的）,0.2,0.38210467079347216
AD 规则（预警最疏的）,0.3,0.49887450759707375
AD 规则（预警最疏的）,0.4,0.5924310635903207
离散度规则（预警最分散的）,0.05,0.10199774901519415
离散度规则（预警最分散的）,0.1,0.1765616207090602
离散度规则（预警最分散的）,0.2,0.30388294879009564
离散度规则（预警最分散的）,0.3,0.3972988182329769
离散度规则（预警最分散的）,0.4,0.47875633089476644
合并（两者都算预警）,0.05,0.18444006752954417
合并（两者都算预警）,0.1,0.25886325267304444
合并（两者都算预警）,0.2,0.41207090602138435
合并（两者都算预警）,0.3,0.5437535171637592
合并（两者都算预警）,0.4,0.6515194147439505
