rule,d_cliff_raw,p_raw,pos_raw,d_cliff_mtd,p_mtd,pos_mtd,d_width,w_ratio
global,0.0,,0/150,0.0,,0/150,0.0,1.0
rfstd,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935
wstd,0.015208090516222694,0.03180432737239233,61/150,0.006965659717894847,0.28799358070061554,54/150,0.033445636565817005,1.013615979330928
std,0.014734250200511561,0.045028230929231694,59/150,0.00730617525724715,0.3219946555872958,52/150,0.03531122292411319,1.0146673816841036
iqr,0.0011090192160575663,0.835473903174057,56/150,-0.015939610054936992,0.028591068068310813,41/150,0.038968391857833615,1.0164781360564457
nnsim,0.01920645529438633,0.03128939118723452,50/150,0.0026890741617254933,0.660402394182166,43/150,0.07041411296106052,1.0283433954907715
nb,-0.04131930448033206,6.352881185128049e-07,25/150,-0.054746291717137914,1.4779366017157978e-10,18/150,0.05528399351190608,1.0225719188382778
floor_g0.00,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935
floor_g0.20,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935
floor_g0.40,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935
floor_g0.60,-0.05060176697234548,3.205375749034104e-07,32/150,-0.04270851342772057,3.5065531233961475e-06,28/150,-0.02066140365032899,0.9914145654308592
floor_g0.80,-0.019446726060377367,0.018065596499488707,44/150,-0.03296818537905206,9.049551546270572e-05,30/150,0.06509377637569412,1.0264346066623096
floor_g1.00,0.04800630912340741,2.4854553783364525e-15,83/150,-0.017066044202855728,0.0033515603550827644,25/150,0.2632513918216268,1.1080136315383387
