rule,view,coverage,cov_cliffA,cov_cliffB,n_cliffB,width
global,raw,0.8987031494940858,0.807038626609442,0.7154840964697659,2861,2.412630198387502
global,matched_width,0.8987031494940858,0.807038626609442,0.7154840964697659,2861,2.412630198387502
rfstd,raw,0.902536696593986,0.7629184549356223,0.6648025166025865,2861,2.3578784511090936
rfstd,matched_width,0.9081373806470001,0.7725321888412017,0.6780845858091576,2861,2.412630198387504
wstd,raw,0.9016958814308109,0.8193991416309013,0.7336595595945473,2861,2.4283086231581947
wstd,matched_width,0.8996009690751033,0.816137339055794,0.7277175812652918,2861,2.412630198387503
std,raw,0.9018383924754169,0.8199141630901288,0.7333100314575324,2861,2.4309576118150664
std,matched_width,0.8993729514037337,0.8159656652360515,0.7273680531282768,2861,2.412630198387503
iqr,raw,0.9022089211913923,0.8056652360515022,0.7182803215658861,2861,2.4325023719365486
iqr,matched_width,0.8989311671654553,0.7987982832618026,0.7060468367703601,2861,2.412630198387503
nnsim,raw,0.9021234145646287,0.8054935622317596,0.7266689968542468,2861,2.4660407576663275
nnsim,matched_width,0.896722245974063,0.7945064377682404,0.7140859839217057,2861,2.412630198387504
nb,raw,0.9026364543252102,0.7790557939914163,0.6749388325760224,2861,2.452663572217793
nb,matched_width,0.8986461450762434,0.7697854077253219,0.6637539321915414,2861,2.4126301983875034
floor_g0.00,raw,0.902536696593986,0.7629184549356223,0.6648025166025865,2861,2.3578784511090936
floor_g0.00,matched_width,0.9081373806470001,0.7725321888412017,0.6780845858091576,2861,2.412630198387504
floor_g0.20,raw,0.902536696593986,0.7629184549356223,0.6648025166025865,2861,2.3578784511090936
floor_g0.20,matched_width,0.9081373806470001,0.7725321888412017,0.6780845858091576,2861,2.412630198387504
floor_g0.40,raw,0.902536696593986,0.7629184549356223,0.6648025166025865,2861,2.3578784511090936
floor_g0.40,matched_width,0.9081373806470001,0.7725321888412017,0.6780845858091576,2861,2.412630198387504
floor_g0.60,raw,0.9051161465013539,0.7665236051502146,0.6675987416987067,2861,2.3717952558727813
floor_g0.60,matched_width,0.9093629756306114,0.7733905579399142,0.6777350576721426,2861,2.412630198387503
floor_g0.80,raw,0.9168875587858059,0.7974248927038626,0.6994058021670745,2861,2.4658505658072722
floor_g0.80,matched_width,0.9114293857773977,0.7850643776824034,0.6875218455085634,2861,2.412630198387502
floor_g1.00,raw,0.9325067692746187,0.8472103004291845,0.7672142607479903,2861,2.673880115850806
floor_g1.00,matched_width,0.9086789226165027,0.7994849785407725,0.7011534428521496,2861,2.412630198387502
