rule,n_pairs,d_cliffB,d_cliffB_p,d_cliffB_pos,d_worst,d_worst_p,d_worst_pos,d_cov,d_cov_p,d_cov_pos,d_width,d_width_p,d_width_pos
rfstd_floor_g_ws,150,0.0825664130549962,5.960026956090256e-20,15/15,0.08807636615545596,3.356646237604668e-26,15/15,0.041994257168769165,2.2978781982304134e-26,15/15,0.3837410431936261,2.2996057560669792e-26,15/15
rfstd_floor_ws,150,0.049977607115443565,1.780940142411168e-09,14/15,0.08142051005603551,3.3673252539281123e-26,15/15,0.03504323122557908,2.392992081710345e-26,15/15,0.27610696387442724,2.2996057560669792e-26,15/15
rfstd_floor_g,150,0.04800630912340741,2.4854553783364525e-15,15/15,0.0690241025852976,4.8995376611985414e-26,15/15,0.03330274630586227,3.354771920313603e-26,15/15,0.26325139182162666,2.2996057560669792e-26,15/15
nnsim,150,0.01920645529438633,0.03128939118723452,9/15,0.009717703524076138,8.810231149142454e-05,12/15,0.004286425561202847,0.0003835396852694181,12/15,0.07041411296106166,8.970604227679331e-14,13/15
wstd,150,0.015208090516222694,0.03180432737239233,11/15,0.03693923683383634,1.4966631922914457e-15,14/15,0.004352986559198516,0.0019250964632654471,10/15,0.03344563656581733,0.0038481690133676254,8/15
std,150,0.014734250200511561,0.045028230929231694,11/15,0.040750449810359586,5.97309344895647e-18,15/15,0.004470270232168804,0.002939547290841367,12/15,0.035311222924113636,0.0006061943499219566,8/15
iqr,150,0.0011090192160575663,0.835473903174057,7/15,0.04187368655894763,1.6788724860625834e-22,15/15,0.004624759704802697,0.0012094862395967743,10/15,0.038968391857834114,0.0002717471237103386,10/15
rfstd_avg_ws,150,-0.014795700972786005,0.07922727435984366,6/15,0.05429817139653444,1.1197292690450499e-23,15/15,0.012618403725687018,1.4526690539990587e-16,15/15,0.00030257967226646236,0.4614727061520123,6/15
nb,150,-0.04131930448033206,6.352881185128049e-07,2/15,0.014250071570146605,2.258312860731716e-07,14/15,0.005105672551291026,2.469136989543391e-05,14/15,0.055283993511907235,1.1275410381442051e-08,11/15
rfstd,150,-0.052607137038635086,2.443138799483033e-07,1/15,0.043569311138957977,1.0866155446479091e-21,15/15,0.004638022353744593,0.005790555038744461,12/15,-0.03284047722128439,0.001022152798285123,5/15
rfstd_min_g,150,-0.1006134461620425,4.178945928815042e-21,0/15,-0.01859167029077403,1.3119096247803962e-20,0/15,-0.028664723952117666,4.893741333021055e-26,0/15,-0.29609186904291107,2.2996057560669792e-26,0/15
