rule,bin_rfstd,n,frac_cliffB,cov_all,cov_cliffB,cov_noncliffB,mean_q
global,0,14072,2.8922683342808413,0.9724275156338829,0.6535626535626535,0.9819246249542627,1.2059295681285
global,1,13702,4.313238943219968,0.9527076339220552,0.7055837563451777,0.9638471512470445,1.20908651257991
global,2,14079,4.439235741174799,0.927622700475886,0.7568,0.9355581983053367,1.2060886145592011
global,3,14154,4.295605482549103,0.8767839480005652,0.7302631578947368,0.8833604015945666,1.204889077083697
global,4,14163,4.448210124973523,0.7663630586740098,0.7095238095238096,0.7690090888938151,1.2056672054599815
rfstd,0,14072,2.8922683342808413,0.8974559408754974,0.2702702702702703,0.9161361141602634,0.7692909317181021
rfstd,1,13702,4.313238943219968,0.9015472193840315,0.5465313028764806,0.917550148730074,0.9592005434783407
rfstd,2,14079,4.439235741174799,0.9096526741956105,0.7056,0.9191318566968931,1.1422512901857367
rfstd,3,14154,4.295605482549103,0.9015825914935707,0.7779605263157895,0.9071312564594715,1.3327260928945863
rfstd,4,14163,4.448210124973523,0.9024218032902633,0.8809523809523809,0.9034212665336585,1.681322924940353
wstd,0,14072,2.8922683342808413,0.9631182490051166,0.5945945945945946,0.9740944017563118,1.1009546174736347
wstd,1,13702,4.313238943219968,0.9373084221281565,0.6615905245346869,0.9497368621767981,1.1477036531863896
wstd,2,14079,4.439235741174799,0.9203778677462888,0.7664,0.9275308458451018,1.1981098015268408
wstd,3,14154,4.295605482549103,0.880740426734492,0.7796052631578947,0.8852797873911118,1.26565625539399
wstd,4,14163,4.448210124973523,0.8085857516062981,0.8142857142857143,0.8083204019803444,1.3553945262948142
rfstd_floor_g,0,14072,2.8922683342808413,0.9728538942581012,0.6560196560196561,0.9822905232345408,1.2107001448327643
rfstd_floor_g,1,13702,4.313238943219968,0.9530725441541381,0.7072758037225042,0.964152238578293,1.2120407227872871
rfstd_floor_g,2,14079,4.439235741174799,0.9317423112436963,0.768,0.9393488925226698,1.2356144503326698
rfstd_floor_g,3,14154,4.295605482549103,0.9033488766426452,0.78125,0.9088291746641075,1.3395462067785493
rfstd_floor_g,4,14163,4.448210124973523,0.9024218032902633,0.8809523809523809,0.9034212665336585,1.681322924940353
rfstd_floor_ws,0,14072,2.8922683342808413,0.9641131324616259,0.5995085995085995,0.9749725576289792,1.1085206256600166
rfstd_floor_ws,1,13702,4.313238943219968,0.9433659319807327,0.6802030456852792,0.9552284341392724,1.1724967370185695
rfstd_floor_ws,2,14079,4.439235741174799,0.9366432275019533,0.7872,0.9435855507655716,1.2767084333333256
rfstd_floor_ws,3,14154,4.295605482549103,0.9187508831425746,0.8273026315789473,0.922855455485014,1.4229478866216567
rfstd_floor_ws,4,14163,4.448210124973523,0.9045399985878698,0.8841269841269841,0.9054902830118968,1.6917905323104383
