detector,auc_mean,auc_sd,n,auc_ds_mean,auc_ds_sd,n_ds
oracle,0.8839218957245453,0.09463142589886293,300,0.8842688987166587,0.03853581202817048,15
rf_std,0.7225638112311313,0.052271316427038375,300,0.7225638112311313,0.033482949378653724,15
naive_proxy,0.6440002386164987,0.13968940276912295,300,0.6435955845073308,0.06074878809920414,15
d_iqr,0.6212063294239322,0.07169410961517358,300,0.6212063294239322,0.03729093614003278,15
d_nn_sim,0.6121185517146162,0.06384763680231796,300,0.612118551714616,0.03415138230654409,15
d_nb,0.6096639331464458,0.08330320367523782,300,0.6096639331464458,0.06289953516480598,15
d_wstd,0.5926729621652461,0.07638953623188009,300,0.5926729621652461,0.05334227356114196,15
d_std,0.5888436362383882,0.07641435186092418,300,0.5888436362383882,0.053496033410145576,15
d_range,0.5488396813079479,0.08263566060331189,300,0.548839681307948,0.058899759171974195,15
d_pair_gap,0.4621437738005585,0.06896505233553174,300,0.46214377380055843,0.04229838708572885,15
