method,comparison,n_pairs,delta_mean,delta_ci_lo,delta_ci_hi,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_ci_lo,meta_ci_hi,meta_p,meta_I2
mondrian_wstd,最差组覆盖率(按标签离散度分箱),300,0.041092298648149124,0.035474849017549104,0.046709748278749144,1.744268739569401e-30,15,15,0.04058822560676255,0.03049283804991726,0.05068361316360784,3.270520938874683e-15,78.37461041737029
mondrian_wstd,最差组覆盖率(按树间方差分箱),300,0.04261470967724566,0.0383367216958023,0.046892697658689024,2.1219196425564887e-41,15,15,0.04171645867628232,0.034589489199672155,0.048843428152892485,1.813134260113752e-30,72.6061779200008
mondrian_wstd,"平均区间宽度(代价, - 更好)",300,0.03201935496126898,0.019358061477932457,0.04468064844460551,2.920832011373561e-05,10,15,0.021837538795610588,0.0029036791432525653,0.04077139844796861,0.023785043032895567,79.7014940239327
mondrian_wstd,机制悬崖组覆盖率,300,0.016708171385098076,0.004361253956622416,0.029055088813573736,0.00023919518424215047,12,15,0.019119772120113215,0.007697999069176812,0.030541545171049615,0.0010344244220770779,45.96452071175012
mondrian_wstd,边缘覆盖率(有效性),300,0.005472172107707336,0.0037826866396914677,0.0071616575757232044,2.2782007636039536e-08,12,15,0.0046220369580908935,0.0018928048411234175,0.00735126907505837,0.000902372325723962,74.33195101342832
mondrian_rfstd,最差组覆盖率(按标签离散度分箱),300,0.04428275262579717,0.039900880089885155,0.04866462516170919,1.1387355282945641e-41,15,15,0.04419065187861421,0.038465631071968744,0.04991567268525967,1.0431264779172028e-51,53.77422408609153
mondrian_rfstd,最差组覆盖率(按树间方差分箱),300,0.07801551567319796,0.07127661713708434,0.08475441420931158,6.978477256554434e-42,15,15,0.07946121456171994,0.06562065183475023,0.09330177728868964,2.2455772765741355e-29,82.66922362669311
mondrian_rfstd,"平均区间宽度(代价, - 更好)",300,-0.039535734613441766,-0.05412346694365017,-0.024948002283233368,2.6859208911681628e-08,4,15,-0.0438418008334533,-0.0718549701635975,-0.0158286315033091,0.002158695086217984,84.2445828335112
mondrian_rfstd,机制悬崖组覆盖率,300,-0.05694048216573812,-0.07157093879280205,-0.04231002553867418,4.496136979714903e-15,2,15,-0.05226551445927527,-0.0723240433805217,-0.03220698553802884,3.271841906217238e-07,68.26911698139855
mondrian_rfstd,边缘覆盖率(有效性),300,0.004978697800197496,0.0029028192216592457,0.007054576378735746,2.2351791717936765e-05,13,15,0.003951353373385681,0.0017961593499553276,0.006106547396816035,0.0003262872213291777,32.62275044558673
mondrian_pair,最差组覆盖率(按标签离散度分箱),300,0.0027006477993165136,0.0009195506125610376,0.00448174498607199,0.0010605363157956136,11,15,0.0027643053751018184,0.0008311145290149813,0.004697496221188656,0.005068616805597632,41.297282938875725
mondrian_pair,最差组覆盖率(按树间方差分箱),300,0.004745146898380222,0.0027064605267582012,0.006783833270002243,2.7230868482569296e-06,12,15,0.004561143026411238,0.0028501674370782736,0.006272118615744202,1.741590277156032e-07,1.2493671020622812
mondrian_pair,"平均区间宽度(代价, - 更好)",300,0.02657464797400138,0.020519472599549855,0.03262982334845291,6.774570990024807e-17,15,15,0.022933791775735943,0.017433901439886865,0.02843368211158502,3.0098266497160355e-16,17.16217524494694
mondrian_pair,机制悬崖组覆盖率,300,-0.0002150543377030471,-0.006665136438616207,0.006235027763210113,0.6454151745658314,7,15,1.4772989149205386e-05,-0.009634219566621369,0.009663765544919779,0.9976056816799549,71.12809218593196
mondrian_pair,边缘覆盖率(有效性),300,0.0020058308050216905,0.0011501233303126109,0.00286153827973077,1.2707920681256876e-06,13,15,0.0018954178285726226,0.001005391205010657,0.0027854444521345882,2.99227143250202e-05,43.07769382875836
