dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL233_Ki,71339737,cliffB_oracle,cliff,30,0.7462809676986735,1.001167749921659,1.0119975289655956,30.233333333333334,0.9020208360375793,1.7197890317698088
CHEMBL233_Ki,71339737,cliffB_oracle,noncliff,599,0.6916806990551047,0.6841333812267938,0.6906866175828503,19.015025041736227,0.7710485114935313,0.7614030255376841
CHEMBL233_Ki,71339737,cliffA,cliff,55,0.7261149808307507,0.9727695494700599,0.9817055134910051,31.036363636363635,0.8868712880641383,1.773979804362424
CHEMBL233_Ki,71339737,cliffA,noncliff,574,0.691234919545778,0.6725203188316593,0.6790685301130217,18.449477351916375,0.7665939805171409,0.7144689791119053
CHEMBL233_Ki,99182118,cliffB_oracle,cliff,27,0.7115328644930563,0.8295113078835535,0.8350255659337471,22.333333333333332,0.9173694642069394,1.3974795646467333
CHEMBL233_Ki,99182118,cliffB_oracle,noncliff,602,0.688978674184251,0.6816766377518216,0.6894875501250257,19.016611295681063,0.780504940907584,0.6291841254462027
CHEMBL233_Ki,99182118,cliffA,cliff,64,0.6764367049138023,0.8920892864216613,0.9020778366470871,26.296875,0.8857088110624389,1.2945481337034375
CHEMBL233_Ki,99182118,cliffA,noncliff,565,0.6914771682933598,0.6640653488646228,0.6715019517782292,18.350442477876108,0.7748586480435912,0.5905304623133733
CHEMBL233_Ki,89709943,cliffB_oracle,cliff,18,0.8128480296151016,0.9172615810271684,0.9213371188274029,29.22222222222222,0.9030788220745674,1.4417004753482763
CHEMBL233_Ki,89709943,cliffB_oracle,noncliff,611,0.703381846964281,0.6745472299082282,0.6812689450225852,20.841243862520457,0.7791938186357495,0.8663464598430732
CHEMBL233_Ki,89709943,cliffA,cliff,45,0.7252268310647706,0.9156190402214782,0.9236219348804454,30.355555555555554,0.8852656699524881,1.6728155741752604
CHEMBL233_Ki,89709943,cliffA,noncliff,584,0.7050725438875562,0.6629562224950702,0.6694895936538606,20.366438356164384,0.7746440811628434,0.8219376621275687
CHEMBL233_Ki,86921808,cliffB_oracle,cliff,27,0.7381007931320005,0.846106429818385,0.8463544235506035,25.14814814814815,0.9086800103863846,1.4722007612996482
CHEMBL233_Ki,86921808,cliffB_oracle,noncliff,602,0.6803916552133779,0.6663497944425851,0.673586852908734,20.589700996677742,0.7777532951737909,0.8046030148213311
CHEMBL233_Ki,86921808,cliffA,cliff,50,0.692127681198731,0.8984898435015565,0.9028573249421566,28.1,0.879509776778932,1.584420812146196
CHEMBL233_Ki,86921808,cliffA,noncliff,579,0.6820692811624887,0.654246616489535,0.6614026249618867,20.15371329879102,0.7749704945115742,0.7683927372542696
CHEMBL233_Ki,89165191,cliffB_oracle,cliff,23,0.7291377618777599,0.8626850023480385,0.8658626877903418,29.08695652173913,0.8933300090808164,1.5212004628672662
CHEMBL233_Ki,89165191,cliffB_oracle,noncliff,606,0.7094751529277756,0.6699197723876449,0.6760536401348364,19.09240924092409,0.7698171785805357,0.7067308721764675
CHEMBL233_Ki,89165191,cliffA,cliff,47,0.6852310070488326,0.8483193802551235,0.8518940627527309,30.5531914893617,0.8666183654938624,1.634222340882758
CHEMBL233_Ki,89165191,cliffA,noncliff,582,0.7122100581892188,0.6628892007138327,0.6691161103003801,18.561855670103093,0.7667765012079024,0.6640173009680357
CHEMBL233_Ki,34332121,cliffB_oracle,cliff,25,0.7036738023438128,0.8236283525625336,0.8270502751687637,22.08,0.9167029961359249,1.153939027970105
CHEMBL233_Ki,34332121,cliffB_oracle,noncliff,604,0.6894866944889768,0.678197207869189,0.6844885007756255,20.915562913907284,0.7789403675141638,0.7414443499928355
CHEMBL233_Ki,34332121,cliffA,cliff,58,0.6890615297897047,0.841687729226777,0.8476298740095691,29.75862068965517,0.8902032015272212,1.3910275999015491
CHEMBL233_Ki,34332121,cliffA,noncliff,571,0.6901510329284317,0.667528099071002,0.6737254436812089,20.06830122591944,0.7734491655849425,0.6935223507892039
CHEMBL233_Ki,57652534,cliffB_oracle,cliff,30,0.7246296624132817,0.8889502510804287,0.8998939048273307,29.066666666666666,0.9105000595211311,1.4789443452538744
CHEMBL233_Ki,57652534,cliffB_oracle,noncliff,599,0.7094685925331955,0.6530674129529923,0.6592956961193225,19.646076794657763,0.7805771659659069,0.6688077213371503
CHEMBL233_Ki,57652534,cliffA,cliff,45,0.6763075845077076,0.8561234800195777,0.8690948128898595,29.533333333333335,0.9030980597515301,1.5271436489867565
CHEMBL233_Ki,57652534,cliffA,noncliff,584,0.7128026292755748,0.6492856920829497,0.655216771360728,19.368150684931507,0.7776124808031613,0.6442854301954885
CHEMBL233_Ki,65555877,cliffB_oracle,cliff,23,0.6852644320226454,0.8595988387966884,0.865376439689593,23.47826086956522,0.9104546742485605,1.4795220425994078
CHEMBL233_Ki,65555877,cliffB_oracle,noncliff,606,0.7046499051177784,0.6770637564312899,0.6835101481711787,20.145214521452147,0.7808382962226874,0.7078704641502475
CHEMBL233_Ki,65555877,cliffA,cliff,55,0.6704489653346426,0.8366633418624101,0.8489464386860677,29.0,0.8948655158123884,1.5100633742412755
CHEMBL233_Ki,65555877,cliffA,noncliff,574,0.7071502288231519,0.6687521950804596,0.6745880587457787,19.430313588850176,0.7748667528781531,0.6619251266055161
CHEMBL233_Ki,80882938,cliffB_oracle,cliff,31,0.8103473597650777,0.9088060725103289,0.9113795691999094,26.193548387096776,0.9052082236779803,1.7806479387987388
CHEMBL233_Ki,80882938,cliffB_oracle,noncliff,598,0.6932883963704957,0.6790574892184024,0.6857566727324959,19.91973244147157,0.7778715189420697,0.7805255354105763
CHEMBL233_Ki,80882938,cliffA,cliff,52,0.746634475927726,0.8640597472814533,0.8722907495601382,25.21153846153846,0.8803696138295277,1.5116811928193457
CHEMBL233_Ki,80882938,cliffA,noncliff,577,0.6947699071647002,0.6746207017632887,0.6809512336480419,19.779896013864818,0.7754159894796638,0.7683655706268278
CHEMBL233_Ki,62569839,cliffB_oracle,cliff,26,0.7029204118602098,0.9204008628427348,0.9299799494513394,30.884615384615383,0.9084095567109269,1.9593636321953056
CHEMBL233_Ki,62569839,cliffB_oracle,noncliff,603,0.6627560589762317,0.6581922175516766,0.6644452931200237,20.034825870646767,0.7803302110127168,0.7575267894719039
CHEMBL233_Ki,62569839,cliffA,cliff,58,0.6876298612568281,0.8720355595253192,0.879268037524548,28.982758620689655,0.8610478068845911,1.6886218371872503
CHEMBL233_Ki,62569839,cliffA,noncliff,571,0.6620583227988392,0.6479997192726551,0.6543069389031475,19.619964973730298,0.7778638650776526,0.7176743291274528
CHEMBL233_Ki,69881227,cliffB_oracle,cliff,25,0.7414412766464096,0.971897384284836,0.9763636444573796,26.8,0.9146876885321218,1.7717546495244578
CHEMBL233_Ki,69881227,cliffB_oracle,noncliff,604,0.7111441537878074,0.6859477044099302,0.6925702085933005,19.11092715231788,0.7805582724903751,0.7426221950859234
CHEMBL233_Ki,69881227,cliffA,cliff,53,0.6786647740364502,0.889060062156574,0.8950982092670161,28.39622641509434,0.8987769587544968,1.609382608083996
CHEMBL233_Ki,69881227,cliffA,noncliff,576,0.7154476871181669,0.6794084404611066,0.6859894705479027,18.59027777777778,0.7752918078051042,0.7075354059749261
CHEMBL233_Ki,86624677,cliffB_oracle,cliff,26,0.7427762771208137,0.8884401273767099,0.8886384651551581,31.192307692307693,0.8997967694920799,1.7675382916550304
CHEMBL233_Ki,86624677,cliffB_oracle,noncliff,603,0.7011112086322542,0.6557015454920365,0.6602792249089552,19.061359867330015,0.7792653690925848,0.6823730305946097
CHEMBL233_Ki,86624677,cliffA,cliff,60,0.7200910131004067,0.8952714664622697,0.8964258207269432,29.833333333333332,0.8728524242906315,1.6814500905805416
CHEMBL233_Ki,86624677,cliffA,noncliff,569,0.7010136752625062,0.6403170868428453,0.6450639651997537,18.479789103690685,0.7746786650232762,0.6266079571120349
CHEMBL233_Ki,29635333,cliffB_oracle,cliff,32,0.7755095614471632,0.8397712002259472,0.8380356812452807,29.96875,0.9041363264745239,1.6554863828646469
CHEMBL233_Ki,29635333,cliffB_oracle,noncliff,597,0.6794835698537947,0.709419380304344,0.7154860057242391,20.273031825795645,0.781015469476151,0.7364979403524157
CHEMBL233_Ki,29635333,cliffA,cliff,61,0.6827674769153427,0.8648797752796303,0.868400757990377,33.18032786885246,0.8828590318925891,1.5858616753181434
CHEMBL233_Ki,29635333,cliffA,noncliff,568,0.684540811755614,0.6996549945396361,0.7055481191956342,19.433098591549296,0.7768379145433296,0.6970550571261516
CHEMBL233_Ki,73489431,cliffB_oracle,cliff,24,0.7135934986573904,0.8432668477534869,0.851083001892162,30.375,0.9161705526630012,1.3370722059603777
CHEMBL233_Ki,73489431,cliffB_oracle,noncliff,605,0.693215475861759,0.671979189994768,0.6773817560337595,19.788429752066115,0.7764762965138294,0.6922035979106795
