signal,subgroup,auc,n_ds,n_mol
rf_std,cliffB,0.46808771018179324,15,2763
rf_std,noncliffB,0.7273036769279204,15,54732
d_wstd,cliffB,0.5459265727066563,15,2763
d_wstd,noncliffB,0.6519673496588604,15,54732
d_std,cliffB,0.5531539023766511,15,2763
d_std,noncliffB,0.6462990948728833,15,54732
d_iqr,cliffB,0.5299662004501337,15,2763
d_iqr,noncliffB,0.6136769755012265,15,54732
d_nb,cliffB,0.5255052365310353,15,2763
d_nb,noncliffB,0.5574204096023924,15,54732
d_nn_sim,cliffB,0.4486985235073217,15,2763
d_nn_sim,noncliffB,0.6694182107895609,15,54732
d_pair_gap,cliffB,0.5066391718354439,15,2763
d_pair_gap,noncliffB,0.49493651424726537,15,54732
