dataset,n_cliffB_low_bins,cov_lo_global,cov_lo_rfstd,delta_lo
CHEMBL204_Ki,99,0.8080808080808081,0.5151515151515151,-0.29292929292929293
CHEMBL214_Ki,113,0.6460176991150443,0.40707964601769914,-0.23893805309734512
CHEMBL219_Ki,47,0.6382978723404256,0.48936170212765956,-0.148936170212766
CHEMBL228_Ki,46,0.5652173913043478,0.2826086956521739,-0.2826086956521739
CHEMBL233_Ki,78,0.5897435897435898,0.28205128205128205,-0.3076923076923077
CHEMBL234_Ki,67,0.7014925373134329,0.34328358208955223,-0.35820895522388063
CHEMBL235_EC50,62,0.532258064516129,0.25806451612903225,-0.27419354838709675
CHEMBL236_Ki,68,0.6764705882352942,0.4852941176470588,-0.19117647058823534
CHEMBL237_EC50,47,0.8936170212765957,0.8297872340425532,-0.06382978723404253
CHEMBL237_Ki,76,0.6447368421052632,0.4473684210526316,-0.19736842105263158
CHEMBL239_EC50,80,0.7125,0.5,-0.21250000000000002
CHEMBL244_Ki,100,0.66,0.41,-0.25000000000000006
CHEMBL264_Ki,59,0.8305084745762712,0.4067796610169492,-0.423728813559322
CHEMBL287_Ki,27,0.7037037037037037,0.4074074074074074,-0.29629629629629634
CHEMBL3979_EC50,29,0.6896551724137931,0.5862068965517241,-0.10344827586206906
