config,method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
act050,mondrian_nnsim,0.0090219640450023,0.3273202371293174,8,15,0.0032690778789716,0.6470108060961594,77.77414497476836,0.0119172247273899,0.0772357138508659
act050,mondrian_std,0.0014593304912771,0.7322476605386303,8,15,0.0019803424985948,0.7176565940536923,68.3503337527994,0.0379149133400662,0.0313041549670548
act050,mondrian_wstd,0.0014560539487362,0.7500573362284126,8,15,0.0034254980937365,0.4557871406233036,63.385667432987525,0.038716897148327,0.0337037535227541
act050,mondrian_iqr,0.0004787420973599,0.9432227857376846,7,15,-0.002793058483123,0.5728610977231197,46.49937613611635,0.0413426552942551,0.0463386571969935
act050,mondrian_pairgap,-0.0105352878457136,0.0269808318158118,4,15,-0.0068583796997489,0.0850902646926735,48.07969513239254,0.0103848225605295,0.0516785535741445
act050,mondrian_pair,-0.01285911737285,7.894776870738841e-05,1,15,-0.0147703753154423,0.0030191746366918,72.54514605904396,0.0043722747507517,0.0319506605395204
act050,mondrian_nb,-0.0172707709128385,0.0049193847830711,5,15,-0.0202235273141177,0.0070988835611267,69.79479199928691,0.0135269494467257,0.0637561746651038
act050,mondrian_rfstd,-0.0415787680400861,2.0684165251881345e-07,2,15,-0.0392996303456585,1.507090760403466e-07,52.73266538038271,0.0444170512844757,-0.0353994925461405
act150,mondrian_wstd,0.0671952112406188,0.0011393204493398,8,9,0.0512888968730968,0.0049699064641996,31.56944556466916,0.0434689515441051,0.0103881746069914
act150,mondrian_std,0.0649567090021166,0.0022291020726651,7,9,0.0505273974934698,0.0019461037180278,0.0,0.0441773737998491,0.014512174643163
act150,mondrian_rfstd,0.0619544652877986,0.0030913229218911,7,9,0.047146124613555,0.0175365473092456,38.81062090521295,0.0410915356890661,-0.0748187688810443
act150,mondrian_iqr,0.0310186934954736,0.1143039781122262,5,9,0.0275296529733776,0.1850196735517034,50.90593302036942,0.0402559285046402,0.0123312745293842
act150,mondrian_pair,0.0259155250589719,0.0266646589717923,6,9,0.026284616766534,0.0650018729657519,67.13097291670817,0.0053875742525292,0.0165620020365972
act150,mondrian_nnsim,-0.0052101579191362,0.6141107200597404,2,9,-0.021093415231876,0.304521446961951,51.1013701549063,0.0084686408387167,0.0578458061656915
act150,mondrian_pairgap,-0.0135955366347523,0.1805349086806487,4,9,-0.0119546605101913,0.5481055162509763,74.69503102572186,0.0094879661985629,0.0492770793159112
act150,mondrian_nb,-0.0449620713346203,0.00838008851985,2,9,-0.0318137904263342,0.0130448099961688,26.917329347632023,0.008060646195867,0.0543560986429365
base,mondrian_wstd,0.0156922514989254,0.0758682852272895,12,15,0.0123877183868327,0.1716050825287667,46.624973247239495,0.0337326621666021,0.0309556157293242
base,mondrian_nnsim,0.0125712255181579,0.367366482359566,7,15,0.0019258402133659,0.8707394633458856,68.27735567813897,0.0136005508981631,0.0776856807769025
base,mondrian_std,0.010342517931648,0.2235493578471813,11,15,0.0124109956174129,0.1614819399203199,50.78917654415064,0.0345054486173221,0.0270730944519128
base,mondrian_iqr,-0.0063562656414648,0.8433975809904062,8,15,0.0025385275031789,0.7771793173212352,29.27475213116859,0.0378240714910957,0.045755079372343
base,mondrian_pairgap,-0.0160896180731792,0.0541238456846662,3,15,-0.0099161322535927,0.2238995150714201,39.78002419889221,0.0110885432944766,0.0584790918442522
