seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,global,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,cliff,67,57,0.8507462686567164,0.7465960395409149,0.9168572656622017,2.443095683765996,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,noncliff,562,511,0.9092526690391459,0.8826438493350895,0.9303047121908105,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffA,cliff,104,93,0.8942307692307693,0.8204688159769196,0.9399066546140318,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffA,noncliff,525,475,0.9047619047619048,0.8766312747862821,0.9270122234896312,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,__bins__,__summary__,-1,-1,,,,2.4430956837659963,0.8823529411764706,0.07598039215686281,0.8253968253968254,0.1428571428571429,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,all,629,572,0.9093799682034976,0.8843914811543093,0.9293984386143911,2.494395178877615,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,cliff,67,56,0.835820895522388,0.7294473706077896,0.9057738790547688,2.259293886965949,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,noncliff,562,516,0.9181494661921709,0.8925454885172741,0.9380758678244063,2.522423268838614,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,all,629,572,0.9093799682034976,0.8843914811543093,0.9293984386143911,2.494395178877615,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,cliff,104,90,0.8653846153846154,0.786649411801308,0.9180888292342079,2.235457338821725,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,noncliff,525,482,0.9180952380952381,0.8914903838218231,0.9386260767502379,2.545689531955353,,,,,CHEMBL233_Ki
71339737,mondrian_pair,__bins__,__summary__,-1,-1,,,,2.494395178877615,0.8571428571428571,0.10119047619047628,0.8571428571428571,0.10317460317460325,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4513768894741648,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,cliff,67,58,0.8656716417910447,0.7639962773866296,0.927689083357045,2.587150868287575,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,noncliff,562,510,0.9074733096085409,0.8806718501360876,0.9287421524266563,2.4351903119287934,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4513768894741648,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,cliff,104,94,0.9038461538461539,0.8319911824573768,0.9469300313187198,2.5181384776493183,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,noncliff,525,474,0.9028571428571428,0.8745211190529412,0.9253405274663795,2.4381517367689916,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,__bins__,__summary__,-1,-1,,,,2.4513768894741648,0.859504132231405,0.08644181371454096,0.8492063492063492,0.10317460317460314,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.446073556515912,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,cliff,67,58,0.8656716417910447,0.7639962773866296,0.927689083357045,2.593217116543133,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,noncliff,562,510,0.9074733096085409,0.8806718501360876,0.9287421524266563,2.4285315306763686,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.446073556515912,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,cliff,104,94,0.9038461538461539,0.8319911824573768,0.9469300313187198,2.5256240897269944,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,noncliff,525,474,0.9028571428571428,0.8745211190529412,0.9253405274663795,2.43031497469886,,,,,CHEMBL233_Ki
71339737,mondrian_std,__bins__,__summary__,-1,-1,,,,2.446073556515912,0.859504132231405,0.08644181371454096,0.8492063492063492,0.10317460317460314,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,all,629,575,0.9141494435612083,0.8896648481212429,0.9336061192564132,2.4234411052605034,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,cliff,67,61,0.9104477611940298,0.8180724780033378,0.9583090493620113,2.545140103770093,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,noncliff,562,514,0.9145907473309609,0.8885762012623722,0.9349760371529962,2.408932505794058,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,all,629,575,0.9141494435612083,0.8896648481212429,0.9336061192564132,2.4234411052605034,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,cliff,104,96,0.9230769230769231,0.8555044538374418,0.960508246308945,2.5062871803433002,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,noncliff,525,479,0.9123809523809524,0.8851024449953737,0.9336684603069099,2.407029692291722,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,__bins__,__summary__,-1,-1,,,,2.4234411052605034,0.8823529411764706,0.05979581915410792,0.8492063492063492,0.11904761904761907,CHEMBL233_Ki
71339737,mondrian_nb,cliffB_oracle,all,629,566,0.8998410174880763,0.8738984165925628,0.9209294079582261,2.509210302291025,,,,,CHEMBL233_Ki
