seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,global,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659994,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,cliff,30,21,0.7,0.5212421254128504,0.8333525173175619,2.4430956837660003,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,noncliff,599,547,0.9131886477462438,0.887926217047623,0.9331851925232144,2.443095683766,,,,,CHEMBL233_Ki
71339737,global,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659994,,,,,CHEMBL233_Ki
71339737,global,cliffA,cliff,55,45,0.8181818181818182,0.6966954036336236,0.8981232956555033,2.4430956837659994,,,,,CHEMBL233_Ki
71339737,global,cliffA,noncliff,574,523,0.9111498257839721,0.8850571390042522,0.9317759088758634,2.443095683766,,,,,CHEMBL233_Ki
71339737,global,__bins__,__summary__,-1,-1,,,,2.4430956837659994,0.8157894736842105,0.15754385964912287,0.7974683544303798,0.17721518987341767,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,all,629,567,0.9014308426073132,0.8756425818358458,0.9223455919179284,2.443294604083511,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,cliff,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,2.2751235749016003,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,noncliff,599,547,0.9131886477462438,0.887926217047623,0.9331851925232144,2.45171719319112,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,all,629,567,0.9014308426073132,0.8756425818358458,0.9223455919179284,2.443294604083511,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,cliff,55,43,0.7818181818181819,0.6562996597815998,0.8705397595887698,2.2609923108103014,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,noncliff,574,524,0.9128919860627178,0.8869915321592676,0.9333026727033911,2.460762593857077,,,,,CHEMBL233_Ki
71339737,mondrian_pair,__bins__,__summary__,-1,-1,,,,2.443294604083511,0.84,0.13333333333333341,0.810126582278481,0.16423239208049334,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,all,629,574,0.9125596184419714,0.8879049463630002,0.9322056718116707,2.568605064882671,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,cliff,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,2.845888054395447,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,noncliff,599,551,0.9198664440734557,0.8953535738433848,0.9390283231548601,2.5547177699154195,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,all,629,574,0.9125596184419714,0.8879049463630002,0.9322056718116707,2.568605064882671,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,cliff,55,46,0.8363636363636363,0.7173625426094283,0.9114457966390772,2.789457969740178,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,noncliff,574,528,0.9198606271777003,0.8947566879447105,0.9393821448481195,2.547443201176812,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,__bins__,__summary__,-1,-1,,,,2.568605064882671,0.8552631578947368,0.10473684210526313,0.8354430379746836,0.11392405063291133,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,all,629,576,0.9157392686804452,0.8914269321535867,0.9350043844270547,2.5962788399116805,,,,,CHEMBL233_Ki
