dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
BBBP,20260923,global,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,,
BBBP,20260923,aps,395,3,1.0,1.0,1.0,2.0,2.0,2.0,0.6,0.7228915662650602,0.967948717948718
BBBP,20260923,mondrian_predclass,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,,
BBBP,20260923,mondrian_nnsim,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,,
BBBP,20268842,global,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,,
BBBP,20268842,aps,395,4,1.0,1.0,1.0,2.0,2.0,2.0,0.505,0.5949367088607594,0.9715189873417721
BBBP,20268842,mondrian_predclass,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,,
BBBP,20268842,mondrian_nnsim,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,,
BBBP,20276761,global,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,,
BBBP,20276761,aps,395,1,1.0,1.0,1.0,2.0,2.0,2.0,0.5700000000000001,0.6129032258064516,0.9834437086092715
BBBP,20276761,mondrian_predclass,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,,
BBBP,20276761,mondrian_nnsim,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,,
BBBP,20284680,global,395,3,0.8962025316455696,0.3333333333333333,0.9005102040816326,1.0177215189873419,1.3333333333333333,1.0153061224489797,0.54,,
BBBP,20284680,aps,395,3,1.0,1.0,1.0,2.0,2.0,2.0,0.54,0.5569620253164557,0.9810126582278481
BBBP,20284680,mondrian_predclass,395,3,0.8962025316455696,0.3333333333333333,0.9005102040816326,1.0177215189873419,1.3333333333333333,1.0153061224489797,0.54,,
BBBP,20284680,mondrian_nnsim,395,3,0.9012658227848102,0.3333333333333333,0.9056122448979592,1.0253164556962024,1.3333333333333333,1.0229591836734695,0.54,,
BBBP,20292599,global,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,,
BBBP,20292599,aps,395,1,1.0,1.0,1.0,2.0,2.0,2.0,0.685,0.7070707070707071,0.9898648648648649
BBBP,20292599,mondrian_predclass,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,,
BBBP,20292599,mondrian_nnsim,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,,
BBBP,20300518,global,395,3,0.8911392405063291,0.3333333333333333,0.8954081632653061,1.0227848101265822,1.3333333333333333,1.0204081632653061,0.5449999999999999,,
BBBP,20300518,aps,395,3,0.9949367088607595,0.6666666666666666,0.9974489795918368,1.9924050632911392,1.6666666666666667,1.9948979591836735,0.5449999999999999,0.6019417475728155,0.9931506849315068
BBBP,20300518,mondrian_predclass,395,3,0.8911392405063291,0.3333333333333333,0.8954081632653061,1.0227848101265822,1.3333333333333333,1.0204081632653061,0.5449999999999999,,
BBBP,20300518,mondrian_nnsim,395,3,0.8962025316455696,0.3333333333333333,0.9005102040816326,1.0379746835443038,1.3333333333333333,1.0357142857142858,0.5449999999999999,,
BBBP,20308437,global,395,2,0.8860759493670886,0.5,0.8880407124681934,1.0126582278481013,1.0,1.0127226463104326,0.52,,
