method,group_def,side,coverage_mean,coverage_sd,n_mean,k_sum,n_sum,width_mean,rmse_mean,ci_lo,ci_hi,dataset
cluster,defA,all,0.9065182829888713,0.013041304432663098,629.0,5702,6290,2.6353282218536505,0.7664745397077214,0.8990740151682618,0.9134663123026233,CHEMBL233_Ki
cluster,defA,cliff,0.8182781164329679,0.06082471952858994,52.9,432,529,2.7445486161399653,1.0105388976721084,0.7814167242435826,0.8472881080369898,CHEMBL233_Ki
cluster,defA,noncliff,0.9148129387113236,0.011890775538277039,576.1,5270,5761,2.626175377167546,0.7391988119430464,0.9072822589756708,0.9217084485983817,CHEMBL233_Ki
cluster,defB_oracle,all,0.9065182829888713,0.013041304432663098,629.0,5702,6290,2.6353282218536505,0.7664745397077214,0.8990740151682618,0.9134663123026233,CHEMBL233_Ki
cluster,defB_oracle,cliff,0.7018199494132172,0.09865087692763995,26.0,183,260,2.7659429613946083,1.1832882244058804,0.6457081478042653,0.7560482724103351,CHEMBL233_Ki
cluster,defB_oracle,noncliff,0.9152727171873684,0.01169929269048464,603.0,5519,6030,2.629810054008816,0.7423264390756826,0.9079606291154333,0.9220247183913285,CHEMBL233_Ki
cluster,defC_proxy,all,0.9065182829888713,0.013041304432663098,629.0,5702,6290,2.6353282218536505,0.7664745397077214,0.8990740151682618,0.9134663123026233,CHEMBL233_Ki
cluster,defC_proxy,cliff,0.8407264957264957,0.13729475236584776,8.6,73,86,2.892756423433672,1.0429754841404653,0.7583643480040613,0.9094787701686765,CHEMBL233_Ki
cluster,defC_proxy,noncliff,0.9073067895265279,0.012908946214049257,620.4,5629,6204,2.631291247385194,0.7610461629690075,0.8998477481413457,0.9142838680613835,CHEMBL233_Ki
global,defA,all,0.8960254372019077,0.012296474838175484,629.0,5636,6290,2.5216154121260352,0.7664745397077214,0.8882391101856528,0.9033283343704577,CHEMBL233_Ki
global,defA,cliff,0.7909236684384336,0.05475721706407622,52.9,419,529,2.5216154121260352,1.0105388976721084,0.7554321131159035,0.8244777172563259,CHEMBL233_Ki
global,defA,noncliff,0.9056090444169739,0.011733223228391794,576.1,5217,5761,2.5216154121260352,0.7391988119430464,0.8977482563254469,0.9128551285863646,CHEMBL233_Ki
global,defB_oracle,all,0.8960254372019077,0.012296474838175484,629.0,5636,6290,2.5216154121260352,0.7664745397077214,0.8882391101856528,0.9033283343704577,CHEMBL233_Ki
global,defB_oracle,cliff,0.658660792845926,0.09212550860147721,26.0,172,260,2.5216154121260352,1.1832882244058804,0.6020416775264725,0.7163313347190599,CHEMBL233_Ki
global,defB_oracle,noncliff,0.9061857092673437,0.012314959180486855,603.0,5464,6030,2.5216154121260352,0.7423264390756826,0.8985142407616298,0.9132405979141129,CHEMBL233_Ki
global,defC_proxy,all,0.8960254372019077,0.012296474838175484,629.0,5636,6290,2.5216154121260352,0.7664745397077214,0.8882391101856528,0.9033283343704577,CHEMBL233_Ki
global,defC_proxy,cliff,0.7854273504273503,0.14577354680683632,8.6,67,86,2.5216154121260352,1.0429754841404653,0.6805235720815125,0.853750922456678,CHEMBL233_Ki
global,defC_proxy,noncliff,0.8976722546232461,0.012654942392533048,620.4,5569,6204,2.5216154121260352,0.7610461629690075,0.8898564231180621,0.9049448025139653,CHEMBL233_Ki
knn_weighted,defA,all,0.895389507154213,0.013896199289928276,629.0,5632,6290,2.467470138966104,0.7664745397077214,0.887583250439822,0.902713110303272,CHEMBL233_Ki
knn_weighted,defA,cliff,0.8007236011420714,0.0539916019705945,52.9,423,529,2.524067632638221,1.0105388976721084,0.7634059751023586,0.8315177020108994,CHEMBL233_Ki
knn_weighted,defA,noncliff,0.9042188039319818,0.012839060307671445,576.1,5209,5761,2.462432283499551,0.7391988119430464,0.8963111286607327,0.9115168113209292,CHEMBL233_Ki
knn_weighted,defB_oracle,all,0.895389507154213,0.013896199289928276,629.0,5632,6290,2.467470138966104,0.7664745397077214,0.887583250439822,0.902713110303272,CHEMBL233_Ki
knn_weighted,defB_oracle,cliff,0.6729006045639987,0.11267090081875157,26.0,176,260,2.5227312050225295,1.1832882244058804,0.6178597703721045,0.7308344811349072,CHEMBL233_Ki
knn_weighted,defB_oracle,noncliff,0.9048592722057375,0.013706167592772704,603.0,5456,6030,2.4649510699980177,0.7423264390756826,0.8971420483285193,0.9119610799718023,CHEMBL233_Ki
knn_weighted,defC_proxy,all,0.895389507154213,0.013896199289928276,629.0,5632,6290,2.467470138966104,0.7664745397077214,0.887583250439822,0.902713110303272,CHEMBL233_Ki
knn_weighted,defC_proxy,cliff,0.7917307692307692,0.1418312785595198,8.6,68,86,2.5974288798322203,1.0429754841404653,0.6932340925568325,0.8633018392537823,CHEMBL233_Ki
knn_weighted,defC_proxy,noncliff,0.8968624306651011,0.013692735395306575,620.4,5564,6204,2.4652998362532483,0.7610461629690075,0.8890247917058115,0.9041655680453241,CHEMBL233_Ki
cluster,defA,all,0.9043715846994536,0.015957573285915506,732.0,6620,7320,2.2711293016251437,0.6818055643031775,0.8974210238419179,0.910897948283027,CHEMBL234_Ki
cluster,defA,cliff,0.8307947630868349,0.05182264663265257,46.0,381,460,2.3276160012342553,0.8535714872926651,0.7911120636702195,0.859972470187163,CHEMBL234_Ki
cluster,defA,noncliff,0.9093978946270902,0.014502648158692079,686.0,6239,6860,2.267729990130318,0.6687501515242192,0.9024541535895885,0.9160379449976148,CHEMBL234_Ki
cluster,defB_oracle,all,0.9043715846994536,0.015957573285915506,732.0,6620,7320,2.2711293016251437,0.6818055643031775,0.8974210238419179,0.910897948283027,CHEMBL234_Ki
cluster,defB_oracle,cliff,0.7588696581196581,0.08347895478476622,24.0,182,240,2.2483562191803443,0.9399901610967782,0.70037769496489,0.808149446398638,CHEMBL234_Ki
cluster,defB_oracle,noncliff,0.9092982540973795,0.014665807896236933,708.0,6438,7080,2.271803891790369,0.6711033022367232,0.9024095034680792,0.9157906261780899,CHEMBL234_Ki
cluster,defC_proxy,all,0.9043715846994536,0.015957573285915506,732.0,6620,7320,2.2711293016251437,0.6818055643031775,0.8974210238419179,0.910897948283027,CHEMBL234_Ki
cluster,defC_proxy,cliff,0.9032661782661784,0.11271913286882299,9.2,83,92,2.265479627648321,0.6160066496913763,0.8244322048381333,0.9476762429103883,CHEMBL234_Ki
cluster,defC_proxy,noncliff,0.9043816320316178,0.0159948087087435,722.8,6537,7228,2.2710148166199042,0.6822405105550315,0.8974043999885768,0.9109650911414615,CHEMBL234_Ki
global,defA,all,0.8995901639344263,0.017283205568623256,732.0,6585,7320,2.2518514374785275,0.6818055643031775,0.8924942033675308,0.9062669430735043,CHEMBL234_Ki
global,defA,cliff,0.8225422094887642,0.041163053383972484,46.0,378,460,2.2518514374785275,0.8535714872926651,0.7841423780584824,0.854006701483853,CHEMBL234_Ki
global,defA,noncliff,0.9046887769836648,0.01669165620701388,686.0,6207,6860,2.2518514374785275,0.6687501515242192,0.8976373908576458,0.9115304830393507,CHEMBL234_Ki
global,defB_oracle,all,0.8995901639344263,0.017283205568623256,732.0,6585,7320,2.2518514374785275,0.6818055643031775,0.8924942033675308,0.9062669430735043,CHEMBL234_Ki
global,defB_oracle,cliff,0.7498317053317053,0.06509027913433264,24.0,180,240,2.2518514374785275,0.9399901610967782,0.6915695792009672,0.8005534608282535,CHEMBL234_Ki
global,defB_oracle,noncliff,0.9046402893609056,0.01564519498692102,708.0,6405,7080,2.2518514374785275,0.6711033022367232,0.8975990673352893,0.911284083608905,CHEMBL234_Ki
global,defC_proxy,all,0.8995901639344263,0.017283205568623256,732.0,6585,7320,2.2518514374785275,0.6818055643031775,0.8924942033675308,0.9062669430735043,CHEMBL234_Ki
global,defC_proxy,cliff,0.9267521367521369,0.0791626086880477,9.2,85,92,2.2518514374785275,0.6160066496913763,0.8511875992283273,0.9626564402903846,CHEMBL234_Ki
global,defC_proxy,noncliff,0.8992661728334962,0.017656096528187587,722.8,6500,7228,2.2518514374785275,0.6822405105550315,0.89212894114925,0.9060080247766108,CHEMBL234_Ki
knn_weighted,defA,all,0.8868852459016393,0.01614875064429982,732.0,6492,7320,2.0475303637463815,0.6818055643031775,0.8794255745089472,0.8939390636862703,CHEMBL234_Ki
knn_weighted,defA,cliff,0.8104421113979974,0.04230389942628078,46.0,372,460,2.133360403400207,0.8535714872926651,0.7702532391556627,0.842024931756578,CHEMBL234_Ki
knn_weighted,defA,noncliff,0.8920465112031277,0.014309571195226661,686.0,6120,6860,2.0420571159564194,0.6687501515242192,0.8845666222674595,0.8992510157530378,CHEMBL234_Ki
knn_weighted,defB_oracle,all,0.8868852459016393,0.01614875064429982,732.0,6492,7320,2.0475303637463815,0.6818055643031775,0.8794255745089472,0.8939390636862703,CHEMBL234_Ki
knn_weighted,defB_oracle,cliff,0.7349608262108263,0.07782459954990537,24.0,176,240,2.1111375750985166,0.9399901610967782,0.67403117563904,0.7852836617215657,CHEMBL234_Ki
knn_weighted,defB_oracle,noncliff,0.89208678972406,0.014320910930321605,708.0,6316,7080,2.0453408123139214,0.6711033022367232,0.8846494714984475,0.8991060702192079,CHEMBL234_Ki
knn_weighted,defC_proxy,all,0.8868852459016393,0.01614875064429982,732.0,6492,7320,2.0475303637463815,0.6818055643031775,0.8794255745089472,0.8939390636862703,CHEMBL234_Ki
knn_weighted,defC_proxy,cliff,0.8981807081807082,0.0988904744473809,9.2,83,92,2.0861647680961015,0.6160066496913763,0.8244322048381333,0.9476762429103883,CHEMBL234_Ki
knn_weighted,defC_proxy,noncliff,0.8866891422080923,0.01661140056905972,722.8,6409,7228,2.046921967173403,0.6822405105550315,0.8791769791971019,0.8937935058211867,CHEMBL234_Ki
cluster,defA,all,0.9016129032258065,0.01235389816459792,620.0,5590,6200,2.738248329737159,0.8005226684856238,0.8939487085479685,0.9087797352808753,CHEMBL244_Ki
cluster,defA,cliff,0.8213401551878272,0.04867360430420063,58.6,479,586,2.8028253664048712,1.0134874872731103,0.784092933433783,0.8465850130499419,CHEMBL244_Ki
cluster,defA,noncliff,0.9103884354763689,0.011279915786204527,561.4,5111,5614,2.731732956031124,0.7733690526804515,0.9026482573965339,0.9175956091805265,CHEMBL244_Ki
cluster,defB_oracle,all,0.9016129032258065,0.01235389816459792,620.0,5590,6200,2.738248329737159,0.8005226684856238,0.8939487085479685,0.9087797352808753,CHEMBL244_Ki
