method,group_def,gap_mean,gap_sd,gap_min,gap_max,n_seeds,frac_seeds_gap_positive,perm_p_mean,perm_p_frac_sig,dataset
cluster,defA,0.09653482227835584,0.058987324699759536,0.035371329879101854,0.21191924778761062,10,1.0,0.07906046976511745,0.7,CHEMBL233_Ki
global,defA,0.11468537597854027,0.05274244926345787,0.03460353886104239,0.1964231354642313,10,1.0,0.054522738630684665,0.7,CHEMBL233_Ki
knn_weighted,defA,0.10349520278991035,0.050695004070093794,0.025008635578583793,0.19629424778761062,10,1.0,0.06006996501749125,0.6,CHEMBL233_Ki
cluster,defB_oracle,0.21345276777415118,0.09509573123534093,0.06343054017472616,0.430478651408884,10,1.0,0.031484257871064465,0.9,CHEMBL233_Ki
global,defB_oracle,0.2475249164214175,0.08966966899048459,0.05346376276608833,0.3710001434926101,10,1.0,0.036631684157921035,0.9,CHEMBL233_Ki
knn_weighted,defB_oracle,0.2319586676417389,0.11099651486595148,0.05346376276608833,0.4708379475821336,10,1.0,0.03883058470764618,0.9,CHEMBL233_Ki
cluster,defC_proxy,0.06658029380003208,0.13891773752893752,-0.10032362459546929,0.32788461538461544,10,0.7,0.5020489755122439,0.0,CHEMBL233_Ki
global,defC_proxy,0.11224490419589558,0.1483936317358367,-0.1217948717948718,0.2958333333333334,10,0.8,0.38775612193903053,0.2,CHEMBL233_Ki
knn_weighted,defC_proxy,0.10513166143433177,0.14201761569153967,-0.1282051282051282,0.3038461538461539,10,0.8,0.3768615692153923,0.0,CHEMBL233_Ki
cluster,defA,0.07860313154025549,0.0470169986114436,0.023171299891287522,0.15229072837397117,10,1.0,0.14652673663168417,0.4,CHEMBL234_Ki
global,defA,0.08214656749490054,0.03878252062489164,0.024631153905886105,0.1435316042863799,10,1.0,0.09085457271364318,0.4,CHEMBL234_Ki
knn_weighted,defA,0.0816043998051304,0.033233475414171806,0.012952321789097776,0.1268615984405459,10,1.0,0.11779110444777612,0.6,CHEMBL234_Ki
cluster,defB_oracle,0.15042859597772132,0.07781930104327985,0.027423167848699803,0.25,10,1.0,0.08550724637681159,0.6,CHEMBL234_Ki
global,defB_oracle,0.1548085840292002,0.05273871771679828,0.0672970843183609,0.22434081499237302,10,1.0,0.040479760119940034,0.7,CHEMBL234_Ki
knn_weighted,defB_oracle,0.15712596351323366,0.06712069623590895,0.05594956658786443,0.2870995859664416,10,1.0,0.07051474262868565,0.7,CHEMBL234_Ki
cluster,defC_proxy,0.0011154537654396112,0.11466462060894776,-0.10359116022099446,0.19605911330049264,10,0.5,0.646976511744128,0.0,CHEMBL234_Ki
global,defC_proxy,-0.027485963918640454,0.08399611013687074,-0.1312154696132597,0.1574585635359116,10,0.4,0.7008995502248876,0.0,CHEMBL234_Ki
knn_weighted,defC_proxy,-0.011491565972616047,0.1050417829176291,-0.14779005524861877,0.17674876847290644,10,0.4,0.6382808595702149,0.0,CHEMBL234_Ki
cluster,defA,0.0890482802885417,0.048280345302304704,0.021005104043973377,0.18051948051948052,10,1.0,0.07841079460269865,0.7,CHEMBL244_Ki
global,defA,0.10540479304991672,0.04903815437281991,0.018038813370949813,0.2015584415584416,10,1.0,0.05807096451774112,0.8,CHEMBL244_Ki
knn_weighted,defA,0.12608407174666397,0.04828738440910259,0.06716821977145138,0.2015584415584416,10,1.0,0.025087456271864067,0.8,CHEMBL244_Ki
cluster,defB_oracle,0.17560429529234614,0.0907955459589302,0.039982521302163065,0.37344632768361585,10,1.0,0.04312843578210894,0.8,CHEMBL244_Ki
global,defB_oracle,0.2049310952151467,0.08924238957432917,0.07586206896551728,0.4180790960451978,10,1.0,0.010194902548725637,0.9,CHEMBL244_Ki
knn_weighted,defB_oracle,0.23474159548371293,0.0862008074488604,0.1432405624598868,0.4180790960451978,10,1.0,0.006296851574212893,1.0,CHEMBL244_Ki
cluster,defC_proxy,0.048449306718700305,0.08975798426061404,-0.08666666666666667,0.20622378304555644,10,0.6,0.43203398300849577,0.1,CHEMBL244_Ki
global,defC_proxy,0.07321090916277616,0.11057013497328855,-0.08059210526315785,0.2667056872500243,10,0.7,0.40299850074962523,0.2,CHEMBL244_Ki
knn_weighted,defC_proxy,0.05932423939523503,0.11426292194993914,-0.10032894736842102,0.26836406204272756,10,0.6,0.4324837581209396,0.2,CHEMBL244_Ki
cluster,defA,0.13539795428180312,0.05399267767421188,0.04325973792855864,0.20043139206902272,10,1.0,0.03513243378310845,0.8,CHEMBL214_Ki
global,defA,0.16158721184274896,0.045214365510097,0.08685897435897438,0.22571760411481667,10,1.0,0.016491754122938528,0.8,CHEMBL214_Ki
