run,alpha,method,marg_cov,width,cov_cliffB,cov_cliffA,n_pairs
alpha_007,0.07,global,0.9319900941078139,2.7790296854309067,0.8058737696927929,0.8651508767006572,60
alpha_007,0.07,mondrian_iqr,0.9342999673565371,2.8076098328797134,0.8101316107241949,0.8647676682243757,60
alpha_007,0.07,mondrian_nb,0.9357646041431427,2.855004021071103,0.7765310217529755,0.8430684277310919,60
alpha_007,0.07,mondrian_nnsim,0.9358515677030756,2.8737581416531146,0.8196175218165738,0.8678025702380976,60
alpha_007,0.07,mondrian_pair,0.9329687389384177,2.803833499321485,0.8056333788752496,0.8641795842760717,60
alpha_007,0.07,mondrian_pairgap,0.9354392825051998,2.845153558011227,0.799681689930807,0.8639736411961364,60
alpha_007,0.07,mondrian_rfstd,0.9367416687156106,2.737704113249677,0.759921435216863,0.8304959105449644,60
alpha_007,0.07,mondrian_std,0.9343334139932546,2.803697182434733,0.821131148069552,0.8754418865009089,60
alpha_007,0.07,mondrian_wstd,0.9330250077689132,2.796815718254522,0.8172917685855646,0.8735904669150162,60
alpha_010,0.1,global,0.9002174363497258,2.4211898287843985,0.7292759417385403,0.8112208757153294,60
alpha_010,0.1,mondrian_iqr,0.9040537472839156,2.4659192578826206,0.72010380607844,0.8027131065848631,60
alpha_010,0.1,mondrian_nb,0.9049635375508005,2.4875333290077584,0.6847308113404852,0.7784755414922319,60
alpha_010,0.1,mondrian_nnsim,0.9070979400501472,2.505809003989162,0.7415112998677088,0.8128090501479087,60
alpha_010,0.1,mondrian_pair,0.9015313375477524,2.44927484496711,0.7073641872431676,0.7981444304555214,60
alpha_010,0.1,mondrian_pairgap,0.9040583069415302,2.4851499909857844,0.7110145566000587,0.7975447874412577,60
alpha_010,0.1,mondrian_rfstd,0.9037024020218308,2.391319786045313,0.68436331748332,0.7717828156436827,60
alpha_010,0.1,mondrian_std,0.9021908467943588,2.4450314603176264,0.7404861849412868,0.8166993187485987,60
alpha_010,0.1,mondrian_wstd,0.9029905749326851,2.4476124471195635,0.7477184857788508,0.8199874022704481,60
alpha_013,0.13,global,0.8724098500718992,2.1945389978738112,0.6564549676694167,0.7574162625521937,60
alpha_013,0.13,mondrian_iqr,0.8742953962433961,2.2103325896724377,0.6561989531232866,0.7550061956561124,60
alpha_013,0.13,mondrian_nb,0.875477697859034,2.2310257497574333,0.6051002400302729,0.7197978176941321,60
alpha_013,0.13,mondrian_nnsim,0.8786929201758197,2.2496293138557233,0.6861510081468173,0.7677676339575471,60
alpha_013,0.13,mondrian_pair,0.8723438804653355,2.205857600812699,0.6480771579385369,0.7501292516609761,60
alpha_013,0.13,mondrian_pairgap,0.8761146742996158,2.2285112045445037,0.6459824332818982,0.745705348141856,60
alpha_013,0.13,mondrian_rfstd,0.8744056176194452,2.156074578869144,0.6239546959963017,0.717386537174155,60
alpha_013,0.13,mondrian_std,0.8745919816144968,2.2143534316721385,0.6940528212567756,0.7813059967311169,60
alpha_013,0.13,mondrian_wstd,0.8756873935985486,2.218888834953657,0.6887411790185337,0.779815253667665,60
alpha_016,0.16,global,0.8431843806583039,1.998341313401548,0.5955602686541093,0.7101124376425234,60
alpha_016,0.16,mondrian_iqr,0.8454013092019483,2.0153902504180032,0.5905948268766735,0.6978887357882401,60
alpha_016,0.16,mondrian_nb,0.8464136002964041,2.033300911282152,0.5482776549241116,0.6686408028495404,60
alpha_016,0.16,mondrian_nnsim,0.8466651089341117,2.032712185849107,0.617263184082992,0.7091220488785186,60
alpha_016,0.16,mondrian_pair,0.8422927896661371,2.0003338476065706,0.5794680529750028,0.6977758369992473,60
alpha_016,0.16,mondrian_pairgap,0.8455410464434043,2.0266738207306245,0.576082741810657,0.6902006716935899,60
alpha_016,0.16,mondrian_rfstd,0.8422734690709492,1.9710121172979167,0.555976646176299,0.6611719678445083,60
alpha_016,0.16,mondrian_std,0.8446704326873979,2.0174453760280135,0.6363672718444061,0.7343301968790386,60
alpha_016,0.16,mondrian_wstd,0.8444799069591011,2.0173804106763895,0.6287960001068491,0.7277853658014908,60
