split,metric,method,delta_pp,n_datasets,n_pos,wilcoxon_p
random,cliffA,adaptive,2.5435201974645327,15,12,0.05535888671875
random,cliffA,cluster,1.1468297853273242,15,12,0.041259765625
random,cliffA,cqr,2.7297684571690897,15,13,0.00537109375
random,cliffA,knn_weighted,-1.3077613355681057,15,5,0.083251953125
random,cliffA,mondrian_rfstd,-3.9610599972533502,15,2,0.00042724609375
random,cliffA,mondrian_wstd,0.0,15,0,
random,cliffA,weighted_shift,-1.257034793119051,15,4,0.03546470751403722
random,cliffB,adaptive,6.373226378557538,15,13,0.00335693359375
random,cliffB,cluster,2.323526476150099,15,9,0.046399461870904636
random,cliffB,cqr,8.226308803597776,15,15,6.103515625e-05
random,cliffB,knn_weighted,-1.4904628410353478,15,5,0.1094211588192293
random,cliffB,mondrian_rfstd,-4.380624178031857,15,3,0.01025390625
random,cliffB,mondrian_wstd,0.0,15,0,
random,cliffB,weighted_shift,-1.5884066659556846,15,4,0.05973901545539241
scaffold,cliffA,adaptive,-0.3445893985499793,15,9,0.97796630859375
scaffold,cliffA,cluster,0.2626447380411349,15,10,0.67877197265625
scaffold,cliffA,cqr,1.0675764480009204,15,10,0.25238037109375
scaffold,cliffA,knn_weighted,-1.6743502496612697,15,4,0.04791259765625
scaffold,cliffA,mondrian_rfstd,-5.277864395890165,15,1,0.00030517578125
scaffold,cliffA,mondrian_wstd,0.0,15,0,
scaffold,cliffA,weighted_shift,-1.9399468344245017,15,3,0.015653550837455003
scaffold,cliffB,adaptive,-0.13491645351860387,15,7,0.8260910288588201
scaffold,cliffB,cluster,0.773958383313221,15,8,0.463071015014588
scaffold,cliffB,cqr,2.402796517239077,15,10,0.1688232421875
scaffold,cliffB,knn_weighted,-1.1042270659814506,15,6,0.463071015014588
scaffold,cliffB,mondrian_rfstd,-12.625596909745182,15,1,0.0001220703125
scaffold,cliffB,mondrian_wstd,0.0,15,0,
scaffold,cliffB,weighted_shift,-2.3080757474305864,15,2,0.0280561241492436
