dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL204_Ki,random,6021738,global,551,1652,551,56,25,0.9038112522686026,0.8392857142857143,0.9111111111111111,7.182539682539679,0.72,0.9125475285171103,19.254752851711032,2.726144378321596,2.726144378321596,0.7860728079767759,0.803921568627451,6.913502996602476,6.920233292724923
CHEMBL204_Ki,random,6021738,mondrian_wstd,551,1652,551,56,25,0.9056261343012704,0.8571428571428571,0.9111111111111111,5.3968253968254,0.76,0.9125475285171103,15.254752851711029,2.66800530990218,2.9304007531632346,0.7860728079767759,0.803921568627451,6.913502996602476,6.920233292724923
CHEMBL204_Ki,random,6021738,mondrian_rfstd,551,1652,551,56,25,0.9237749546279492,0.8571428571428571,0.9313131313131313,7.4170274170274215,0.72,0.9334600760456274,21.346007604562743,2.58332975821612,2.5723807663199403,0.7860728079767759,0.803921568627451,6.913502996602476,6.920233292724923
CHEMBL204_Ki,random,6021738,mondrian_nb,551,1652,551,56,25,0.9074410163339383,0.8392857142857143,0.9151515151515152,7.586580086580086,0.72,0.9163498098859315,19.634980988593153,2.7142409428909278,2.5678342477108833,0.7860728079767759,0.803921568627451,6.913502996602476,6.920233292724923
CHEMBL204_Ki,random,98978916,global,551,1652,551,42,21,0.8784029038112523,0.7619047619047619,0.888015717092338,12.611095518757608,0.6666666666666666,0.8867924528301887,22.012578616352208,2.5060022017891073,2.5060022017891064,0.777904050129667,0.8,6.8887437702193735,6.935883018667408
CHEMBL204_Ki,random,98978916,mondrian_wstd,551,1652,551,42,21,0.8729582577132486,0.8095238095238095,0.8781925343811395,6.8668724857329995,0.7619047619047619,0.8773584905660378,11.54537286612759,2.463808257686023,2.63378869948716,0.777904050129667,0.8,6.8887437702193735,6.935883018667408
CHEMBL204_Ki,random,98978916,mondrian_rfstd,551,1652,551,42,21,0.8820326678765881,0.7142857142857143,0.8958742632612967,18.158854897558243,0.5714285714285714,0.8943396226415095,32.2911051212938,2.3733558380471953,2.4194256886808283,0.777904050129667,0.8,6.8887437702193735,6.935883018667408
CHEMBL204_Ki,random,98978916,mondrian_nb,551,1652,551,42,21,0.8874773139745916,0.7857142857142857,0.8958742632612967,11.0159977547011,0.7142857142857143,0.8943396226415095,18.005390835579515,2.677041996470087,2.6149745827123563,0.777904050129667,0.8,6.8887437702193735,6.935883018667408
CHEMBL204_Ki,random,91819329,global,551,1652,551,56,33,0.8838475499092558,0.7321428571428571,0.901010101010101,16.886724386724396,0.6060606060606061,0.9015444015444015,29.548379548379543,2.5953379640983685,2.5953379640983676,0.7742764246451584,0.8,6.981579044591342,6.870255503612884
CHEMBL204_Ki,random,91819329,mondrian_wstd,551,1652,551,56,33,0.8929219600725953,0.7142857142857143,0.9131313131313131,19.884559884559884,0.6060606060606061,0.9111969111969112,30.513630513630506,2.55181873143281,2.522486949564691,0.7742764246451584,0.8,6.981579044591342,6.870255503612884
