dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL204_Ki,act_mid20,6021738,global,550,1653,551,48,28,0.8618181818181818,0.8333333333333334,0.8645418326693227,3.120849933598935,0.8214285714285714,0.8639846743295019,4.255610290093048,2.58729440480132,2.5872944048013196,0.7005480480923728,0.7434164934164934,6.732780718367357,6.972469606426716
CHEMBL204_Ki,act_mid20,6021738,mondrian_wstd,550,1653,551,48,28,0.8618181818181818,0.9166666666666666,0.8565737051792829,-6.0092961487383745,0.8928571428571429,0.8601532567049809,-3.270388615216202,2.8324176494284314,2.863737432137873,0.7005480480923728,0.7434164934164934,6.732780718367357,6.972469606426716
CHEMBL204_Ki,act_mid20,6021738,mondrian_rfstd,550,1653,551,48,28,0.8072727272727273,0.8125,0.8067729083665338,-0.5727091633466186,0.7857142857142857,0.8084291187739464,2.271483305966071,2.956621948841477,2.759649416213248,0.7005480480923728,0.7434164934164934,6.732780718367357,6.972469606426716
CHEMBL204_Ki,act_mid20,6021738,mondrian_nb,550,1653,551,48,28,0.9,0.8333333333333334,0.9063745019920318,7.304116865869847,0.8571428571428571,0.9022988505747126,4.51559934318555,2.961271202662207,2.870963074744347,0.7005480480923728,0.7434164934164934,6.732780718367357,6.972469606426716
CHEMBL204_Ki,act_mid20,98978916,global,550,1653,551,48,31,0.8618181818181818,0.8333333333333334,0.8645418326693227,3.120849933598935,0.8064516129032258,0.8651252408477842,5.867362794455843,2.708998970143522,2.708998970143522,0.6983919043081215,0.7436275542447861,6.732780718367357,6.899078713090134
CHEMBL204_Ki,act_mid20,98978916,mondrian_wstd,550,1653,551,48,31,0.8345454545454546,0.7291666666666666,0.8446215139442231,11.54548472775565,0.6129032258064516,0.8477842003853564,23.48809745789048,2.6776174714901466,2.461053341186942,0.6983919043081215,0.7436275542447861,6.732780718367357,6.899078713090134
CHEMBL204_Ki,act_mid20,98978916,mondrian_rfstd,550,1653,551,48,31,0.7654545454545455,0.6666666666666666,0.7749003984063745,10.823373173970785,0.6451612903225806,0.7726396917148363,12.747840139225563,2.6461432542487153,2.4997156824658027,0.6983919043081215,0.7436275542447861,6.732780718367357,6.899078713090134
CHEMBL204_Ki,act_mid20,98978916,mondrian_nb,550,1653,551,48,31,0.8436363636363636,0.8541666666666666,0.8426294820717132,-1.1537184594953453,0.8387096774193549,0.8439306358381503,0.522095841879544,2.7166402109151617,2.6574216695460375,0.6983919043081215,0.7436275542447861,6.732780718367357,6.899078713090134
CHEMBL204_Ki,act_mid20,91819329,global,550,1653,551,48,34,0.8763636363636363,0.8125,0.8824701195219123,6.997011952191235,0.7941176470588235,0.8817829457364341,8.766529867761063,2.661866360248188,2.6618663602481885,0.7059123198868614,0.7544076708939066,6.732780718367357,6.913500838958171
CHEMBL204_Ki,act_mid20,91819329,mondrian_wstd,550,1653,551,48,34,0.8763636363636363,0.75,0.8884462151394422,13.844621513944222,0.7058823529411765,0.8875968992248062,18.17145462836297,2.7228293146987874,2.408913071651741,0.7059123198868614,0.7544076708939066,6.732780718367357,6.913500838958171
CHEMBL204_Ki,act_mid20,91819329,mondrian_rfstd,550,1653,551,48,34,0.82,0.7708333333333334,0.8247011952191236,5.386786188579018,0.7352941176470589,0.8255813953488372,9.028727770177836,2.8688267093577253,2.722740431438171,0.7059123198868614,0.7544076708939066,6.732780718367357,6.913500838958171
CHEMBL204_Ki,act_mid20,91819329,mondrian_nb,550,1653,551,48,34,0.8545454545454545,0.7291666666666666,0.8665338645418327,13.736719787516606,0.7058823529411765,0.8643410852713178,15.84587323301413,2.719333272488792,2.396003066540652,0.7059123198868614,0.7544076708939066,6.732780718367357,6.913500838958171
CHEMBL214_Ki,act_mid20,6021738,global,663,1990,664,37,22,0.9592760180995475,0.8648648648648649,0.9648562300319489,9.999136516708395,0.8636363636363636,0.9625585023400937,9.892213870373002,2.1874538210911734,2.1874538210911725,0.7463219262386368,0.7586206896551724,7.34888303053757,7.320617842298154
CHEMBL214_Ki,act_mid20,6021738,mondrian_wstd,663,1990,664,37,22,0.942684766214178,0.8918918918918919,0.9456869009584664,5.379500906657453,0.8636363636363636,0.9453978159126365,8.176145227627284,2.2457025641342194,2.3252189583245277,0.7463219262386368,0.7586206896551724,7.34888303053757,7.320617842298154
CHEMBL214_Ki,act_mid20,6021738,mondrian_rfstd,663,1990,664,37,22,0.9019607843137255,0.8108108108108109,0.9073482428115016,9.653743200069076,0.8181818181818182,0.9048361934477379,8.665437526591969,2.193529020817601,2.225282579864531,0.7463219262386368,0.7586206896551724,7.34888303053757,7.320617842298154
CHEMBL214_Ki,act_mid20,6021738,mondrian_nb,663,1990,664,37,22,0.9215686274509803,0.7567567567567568,0.9313099041533547,17.455314739659787,0.7727272727272727,0.9266770670826833,15.394979435541057,2.1549149444756095,1.9218678393068054,0.7463219262386368,0.7586206896551724,7.34888303053757,7.320617842298154
CHEMBL214_Ki,act_mid20,98978916,global,663,1990,664,35,21,0.9803921568627451,0.9714285714285714,0.9808917197452229,0.9463148316651515,0.9523809523809523,0.9813084112149533,2.892745883400094,2.4686937833839746,2.468693783383974,0.7439944092418721,0.7575757575757576,7.34888303053757,7.323353752590843
