dataset,split,seed,method,n_test,n_cliffB,n_cliffA,cov_all,cov_cliffB,cov_noncliffB,gapB_pp,cov_cliffA,cov_noncliffA,gapA_pp,width_all,width_cliffA,width_noncliffA
CHEMBL204_Ki,random,6021738,global,551,25,56,0.9038112522686026,0.72,0.9125475285171103,19.254752851711032,0.8392857142857143,0.9111111111111111,7.182539682539679,2.7261443783215924,2.7261443783215924,2.7261443783215924
CHEMBL204_Ki,random,6021738,mondrian_wstd,551,25,56,0.9056261343012704,0.76,0.9125475285171103,15.254752851711029,0.8571428571428571,0.9111111111111111,5.3968253968254,2.6680053099021777,2.9304007531632337,2.6383201688463807
CHEMBL204_Ki,random,98978916,global,551,21,42,0.8784029038112523,0.6666666666666666,0.8867924528301887,22.012578616352208,0.7619047619047619,0.888015717092338,12.611095518757608,2.5060022017891073,2.5060022017891064,2.5060022017891073
CHEMBL204_Ki,random,98978916,mondrian_wstd,551,21,42,0.8729582577132486,0.7619047619047619,0.8773584905660378,11.54537286612759,0.8095238095238095,0.8781925343811395,6.8668724857329995,2.4638082576860225,2.63378869948716,2.449782366614023
CHEMBL204_Ki,random,91819329,global,551,33,56,0.8838475499092558,0.6060606060606061,0.9015444015444015,29.548379548379543,0.7321428571428571,0.901010101010101,16.886724386724396,2.5953379640983685,2.5953379640983676,2.5953379640983685
CHEMBL204_Ki,random,91819329,mondrian_wstd,551,33,56,0.8929219600725953,0.6060606060606061,0.9111969111969112,30.513630513630506,0.7142857142857143,0.9131313131313131,19.884559884559884,2.55181873143281,2.522486949564691,2.5551370744320314
CHEMBL214_Ki,random,6021738,global,664,26,47,0.9156626506024096,0.6923076923076923,0.9247648902821317,23.245719797443943,0.7659574468085106,0.9270664505672609,16.110900375875026,2.3420180181583863,2.3420180181583863,2.3420180181583863
CHEMBL214_Ki,random,6021738,mondrian_wstd,664,26,47,0.9081325301204819,0.6153846153846154,0.9200626959247649,30.467808054014945,0.7021276595744681,0.9238249594813615,22.169729990689333,2.318944730909778,2.2894309350787654,2.321192945503064
CHEMBL214_Ki,random,98978916,global,664,24,48,0.9051204819277109,0.5833333333333334,0.9171875,33.385416666666664,0.7291666666666666,0.9188311688311688,18.966450216450216,2.32737689822331,2.32737689822331,2.32737689822331
CHEMBL214_Ki,random,98978916,mondrian_wstd,664,24,48,0.8975903614457831,0.5,0.9125,41.25,0.6041666666666666,0.9204545454545454,31.62878787878788,2.2575581960983993,2.1614035864158594,2.265050763086649
CHEMBL214_Ki,random,91819329,global,664,21,45,0.9036144578313253,0.6190476190476191,0.9129082426127527,29.386062356513364,0.7555555555555555,0.9143780290791599,15.882247352360434,2.2081257832217887,2.2081257832217887,2.2081257832217887
CHEMBL214_Ki,random,91819329,mondrian_wstd,664,21,45,0.9051204819277109,0.6666666666666666,0.9129082426127527,24.624157594608608,0.7777777777777778,0.9143780290791599,13.660025130138209,2.1760731682791326,2.1259467565169894,2.179717253140678
CHEMBL233_Ki,random,6021738,global,629,25,51,0.8998410174880763,0.64,0.9105960264900662,27.05960264900662,0.7843137254901961,0.9100346020761245,12.572087658592846,2.4078738799255905,2.4078738799255905,2.40787387992559
CHEMBL233_Ki,random,6021738,mondrian_wstd,629,25,51,0.8998410174880763,0.64,0.9105960264900662,27.05960264900662,0.7843137254901961,0.9100346020761245,12.572087658592846,2.4065379355563175,2.425447444025667,2.404869449514904
CHEMBL233_Ki,random,98978916,global,629,27,56,0.9141494435612083,0.7777777777777778,0.920265780730897,14.248800295311925,0.8214285714285714,0.9232111692844677,10.178259785589628,2.5843457055829817,2.584345705582981,2.5843457055829813
CHEMBL233_Ki,random,98978916,mondrian_wstd,629,27,56,0.9300476947535771,0.8148148148148148,0.9352159468438538,12.040113202903902,0.8571428571428571,0.93717277486911,8.00299177262529,2.6214669082885598,2.6171734168186624,2.6218865165299463
CHEMBL233_Ki,random,91819329,global,629,19,53,0.9348171701112877,0.8947368421052632,0.9360655737704918,4.132873166522866,0.8867924528301887,0.9392361111111112,5.244365828092246,2.80318045957425,2.8031804595742513,2.80318045957425
CHEMBL233_Ki,random,91819329,mondrian_wstd,629,19,53,0.9205087440381559,0.8421052631578947,0.9229508196721311,8.084555651423642,0.8867924528301887,0.9236111111111112,3.6818658280922456,2.708736320902751,2.8734760829822092,2.6935779747391897
