dataset,split,seed,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
CHEMBL204_Ki,random,6021738,rf_std,0.8061680685004168,0.5549049429657794,0.512085137085137,0.25126312553463737,0.29408293141527975
CHEMBL204_Ki,random,6021738,d_wstd,0.6762131115072292,0.708253358925144,0.7162172011661807,-0.03204024741791478,-0.040004089658951525
CHEMBL204_Ki,random,6021738,d_nb,0.5083162840039402,0.27806083650190117,0.33084415584415583,0.23025544750203908,0.17747212815978441
CHEMBL204_Ki,random,6021738,d_nn_sim,0.6168746286393345,0.14057581573896352,0.1735058309037901,0.476298812900371,0.4433687977355444
CHEMBL204_Ki,random,98978916,rf_std,0.7827186382138892,0.5008984725965858,0.5218916643278136,0.2818201656173034,0.26082697388607556
CHEMBL204_Ki,random,98978916,d_wstd,0.7438376735157308,0.625242718446602,0.6321091189512242,0.11859495506912887,0.11172855456450659
CHEMBL204_Ki,random,98978916,d_nb,0.5621684963611694,0.3082659478885894,0.3488867059593975,0.25390254847258,0.21328179040177186
CHEMBL204_Ki,random,98978916,d_nn_sim,0.5831410467714171,0.13287101248266298,0.25532581453634084,0.4502700342887541,0.32781523223507625
CHEMBL204_Ki,random,91819329,rf_std,0.7451232032854209,0.527963027963028,0.5220418470418471,0.21716017532239296,0.22308135624357384
CHEMBL204_Ki,random,91819329,d_wstd,0.7079964061096137,0.6575219652142729,0.6490185950413223,0.05047444089534081,0.058977811068291364
CHEMBL204_Ki,random,91819329,d_nb,0.4551623459958932,0.387007137007137,0.38436147186147185,0.06815520898875621,0.07080087413442138
CHEMBL204_Ki,random,91819329,d_nn_sim,0.4983361618581744,0.10582152889845198,0.13645587367178277,0.39251463295972244,0.3618802881863916
CHEMBL214_Ki,random,6021738,rf_std,0.7491335761278195,0.5048227634434531,0.5056381254526018,0.24431081268436639,0.24349545067521772
CHEMBL214_Ki,random,6021738,d_wstd,0.5758204111071042,0.6808510638297872,0.7011179228272629,-0.10503065272268297,-0.12529751172015868
CHEMBL214_Ki,random,6021738,d_nb,0.649157072368421,0.28032312515071134,0.3335115003965654,0.3688339472177097,0.3156455719718556
CHEMBL214_Ki,random,6021738,d_nn_sim,0.5696538045438153,0.07166687649502707,0.14587089794446448,0.49798692804878825,0.4237829065993508
CHEMBL214_Ki,random,98978916,rf_std,0.6924306050761958,0.4876302083333333,0.5047348484848485,0.2048003967428625,0.1876957565913473
CHEMBL214_Ki,random,98978916,d_wstd,0.5292242130148065,0.6587800111669458,0.6852457824316464,-0.12955579815213936,-0.15602156941683987
CHEMBL214_Ki,random,98978916,d_nb,0.6082191057232654,0.37965494791666665,0.29279964826839827,0.22856415780659878,0.31541945745486716
CHEMBL214_Ki,random,98978916,d_nn_sim,0.5777497822570611,0.07726130653266332,0.1673392961023851,0.5004884757243978,0.410410486154676
CHEMBL214_Ki,random,91819329,rf_std,0.7331510416666667,0.5301784788565505,0.45000897504936277,0.20297256281011622,0.2831420666173039
CHEMBL214_Ki,random,91819329,d_wstd,0.5382391163092918,0.7301587301587301,0.7196315486470927,-0.19191961384943834,-0.1813924323378009
CHEMBL214_Ki,random,91819329,d_nb,0.6550651041666666,0.2905280308079686,0.2825884042362233,0.36453707335869806,0.37247669993044336
CHEMBL214_Ki,random,91819329,d_nn_sim,0.6623781676413255,0.07762773434415225,0.19971214738054116,0.5847504332971732,0.46266602026078435
CHEMBL233_Ki,random,6021738,rf_std,0.743087105277918,0.5730463576158941,0.5022050342628401,0.17004074766202393,0.24088207101507786
CHEMBL233_Ki,random,6021738,d_wstd,0.6675373384234143,0.6563573883161512,0.6481873324869516,0.011179950107263137,0.019350005936462744
CHEMBL233_Ki,random,6021738,d_nb,0.6126395198833361,0.3143046357615894,0.3107741366442771,0.2983348841217467,0.301865383239059
CHEMBL233_Ki,random,6021738,d_nn_sim,0.5687830687830688,0.1250171821305842,0.18225419664268586,0.4437658866524846,0.386528872140383
CHEMBL233_Ki,random,98978916,rf_std,0.7851529790660225,0.45976375046142487,0.4842776115681875,0.3253892286045977,0.30087536749783506
CHEMBL233_Ki,random,98978916,d_wstd,0.6137230215827338,0.6570076121026035,0.6766071428571429,-0.04328459051986966,-0.06288412127440901
CHEMBL233_Ki,random,98978916,d_nb,0.6508856682769726,0.4310015996062508,0.3958021690351533,0.2198840686707218,0.2550834992418193
CHEMBL233_Ki,random,98978916,d_nn_sim,0.6223741007194245,0.12134587091409199,0.17907467532467533,0.5010282298053325,0.4432994253947491
CHEMBL233_Ki,random,91819329,rf_std,0.7640202422432387,0.5144089732528041,0.48658608490566035,0.24961126899043462,0.27743415733757837
CHEMBL233_Ki,random,91819329,d_wstd,0.5164163372859025,0.6224644803860245,0.6599864014958354,-0.106048143100122,-0.1435700642099329
CHEMBL233_Ki,random,91819329,d_nb,0.6873029699684752,0.3513805004314064,0.29820165094339623,0.3359224695370688,0.38910131902507894
CHEMBL233_Ki,random,91819329,d_nn_sim,0.6512516469038209,0.13988919667590027,0.2385517593064763,0.5113624502279206,0.41269988759734455
