dataset,split,seed,method,n_test,n_cliffB,n_cliffA,cov_all,cov_cliffB,cov_noncliffB,gapB_pp,cov_cliffA,cov_noncliffA,gapA_pp,width_all,width_cliffA,width_noncliffA
CHEMBL204_Ki,random,6021738,global,551,25,56,0.9038112522686026,0.72,0.9125475285171103,19.254752851711032,0.8392857142857143,0.9111111111111111,7.182539682539679,2.726144378321596,2.726144378321596,2.7261443783215955
CHEMBL204_Ki,random,6021738,mondrian_wstd,551,25,56,0.9056261343012704,0.76,0.9125475285171103,15.254752851711029,0.8571428571428571,0.9111111111111111,5.3968253968254,2.6680053099021785,2.930400753163233,2.638320168846383
CHEMBL204_Ki,random,6021738,mondrian_nb,551,25,56,0.9074410163339383,0.72,0.9163498098859315,19.634980988593153,0.8392857142857143,0.9151515151515152,7.586580086580086,2.71424094289093,2.5678342477108833,2.7308041245678645
CHEMBL204_Ki,random,6021738,mondrian_rfstd,551,25,56,0.9237749546279492,0.72,0.9334600760456274,21.346007604562743,0.8571428571428571,0.9313131313131313,7.4170274170274215,2.5833297582161183,2.5723807663199385,2.5845684320467974
CHEMBL204_Ki,random,98978916,global,551,21,42,0.8784029038112523,0.6666666666666666,0.8867924528301887,22.012578616352208,0.7619047619047619,0.888015717092338,12.611095518757608,2.5060022017891073,2.5060022017891064,2.5060022017891073
CHEMBL204_Ki,random,98978916,mondrian_wstd,551,21,42,0.8729582577132486,0.7619047619047619,0.8773584905660378,11.54537286612759,0.8095238095238095,0.8781925343811395,6.8668724857329995,2.463808257686023,2.6337886994871607,2.4497823666140235
CHEMBL204_Ki,random,98978916,mondrian_nb,551,21,42,0.8874773139745916,0.7142857142857143,0.8943396226415095,18.005390835579515,0.7857142857142857,0.8958742632612967,11.0159977547011,2.677041996470085,2.614974582712355,2.6821634726544166
CHEMBL204_Ki,random,98978916,mondrian_rfstd,551,21,42,0.8820326678765881,0.5714285714285714,0.8943396226415095,32.2911051212938,0.7142857142857143,0.8958742632612967,18.158854897558243,2.3733558380471944,2.419425688680827,2.3695543965410795
CHEMBL204_Ki,random,91819329,global,551,33,56,0.8838475499092558,0.6060606060606061,0.9015444015444015,29.548379548379543,0.7321428571428571,0.901010101010101,16.886724386724396,2.5953379640983703,2.59533796409837,2.59533796409837
CHEMBL204_Ki,random,91819329,mondrian_wstd,551,33,56,0.8929219600725953,0.6060606060606061,0.9111969111969112,30.513630513630506,0.7142857142857143,0.9131313131313131,19.884559884559884,2.5518187314328076,2.5224869495646893,2.555137074432029
CHEMBL204_Ki,random,91819329,mondrian_nb,551,33,56,0.8947368421052632,0.5757575757575758,0.915057915057915,33.93003393003392,0.7142857142857143,0.9151515151515152,20.086580086580085,2.751513790487874,2.7767150659528417,2.7486627371019385
CHEMBL204_Ki,random,91819329,mondrian_rfstd,551,33,56,0.8929219600725953,0.5757575757575758,0.9131274131274131,33.73698373698373,0.6964285714285714,0.9151515151515152,21.872294372294377,2.4792852019780676,2.47327309716975,2.4799653592897153
CHEMBL214_Ki,random,6021738,global,664,26,47,0.9156626506024096,0.6923076923076923,0.9247648902821317,23.245719797443943,0.7659574468085106,0.9270664505672609,16.110900375875026,2.3420180181583863,2.3420180181583863,2.3420180181583863
CHEMBL214_Ki,random,6021738,mondrian_wstd,664,26,47,0.9081325301204819,0.6153846153846154,0.9200626959247649,30.467808054014945,0.7021276595744681,0.9238249594813615,22.169729990689333,2.3189447309097773,2.289430935078766,2.3211929455030638
CHEMBL214_Ki,random,6021738,mondrian_nb,664,26,47,0.8990963855421686,0.6538461538461539,0.9090909090909091,25.52447552447552,0.723404255319149,0.9124797406807131,18.907548536156416,2.2260144526893457,2.117265254887661,2.2342984272382584
CHEMBL214_Ki,random,6021738,mondrian_rfstd,664,26,47,0.9201807228915663,0.6153846153846154,0.932601880877743,31.721726549312756,0.6808510638297872,0.9384116693679092,25.756060553812198,2.187417256958178,2.1089968570242488,2.193390934100633
