dataset,seed,method,n_test,n_cliff,cov_all,cov_cliff,cov_noncliff,size_all,size_cliff,size_noncliff,q_global,cov_global_class0,cov_global_class1
BBBP,20260923,global,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,0.7228915662650602,0.967948717948718
BBBP,20260923,mondrian_predclass,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,,
BBBP,20260923,mondrian_nnsim,395,3,0.9164556962025316,0.0,0.923469387755102,1.0506329113924051,1.0,1.0510204081632653,0.6,,
BBBP,20268842,global,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,0.5949367088607594,0.9715189873417721
BBBP,20268842,mondrian_predclass,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,,
BBBP,20268842,mondrian_nnsim,395,4,0.8962025316455696,0.0,0.9053708439897699,1.0025316455696203,1.0,1.0025575447570332,0.505,,
BBBP,20276761,global,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,0.6129032258064516,0.9834437086092715
BBBP,20276761,mondrian_predclass,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,,
BBBP,20276761,mondrian_nnsim,395,1,0.8962025316455696,1.0,0.8959390862944162,1.0455696202531646,1.0,1.0456852791878173,0.5700000000000001,,
BBBP,20284680,global,395,3,0.8962025316455696,0.3333333333333333,0.9005102040816326,1.0177215189873419,1.3333333333333333,1.0153061224489797,0.54,0.5569620253164557,0.9810126582278481
BBBP,20284680,mondrian_predclass,395,3,0.8962025316455696,0.3333333333333333,0.9005102040816326,1.0177215189873419,1.3333333333333333,1.0153061224489797,0.54,,
BBBP,20284680,mondrian_nnsim,395,3,0.9012658227848102,0.3333333333333333,0.9056122448979592,1.0253164556962024,1.3333333333333333,1.0229591836734695,0.54,,
BBBP,20292599,global,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,0.7070707070707071,0.9898648648648649
BBBP,20292599,mondrian_predclass,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,,
BBBP,20292599,mondrian_nnsim,395,1,0.9189873417721519,1.0,0.9187817258883249,1.1063291139240505,2.0,1.1040609137055837,0.685,,
BACE,20260923,global,302,20,0.9470198675496688,0.7,0.9645390070921985,1.2980132450331126,1.65,1.2730496453900708,0.72,0.9444444444444444,0.95
BACE,20260923,mondrian_predclass,302,20,0.9470198675496688,0.7,0.9645390070921985,1.2980132450331126,1.65,1.2730496453900708,0.72,,
BACE,20260923,mondrian_nnsim,302,20,0.9503311258278145,0.7,0.9680851063829787,1.304635761589404,1.65,1.2801418439716312,0.72,,
BACE,20268842,global,302,15,0.9470198675496688,0.7333333333333333,0.9581881533101045,1.3609271523178808,1.4666666666666666,1.3554006968641115,0.76,0.9583333333333334,0.9328358208955224
BACE,20268842,mondrian_predclass,302,15,0.9470198675496688,0.7333333333333333,0.9581881533101045,1.3609271523178808,1.4666666666666666,1.3554006968641115,0.76,,
BACE,20268842,mondrian_nnsim,302,15,0.9536423841059603,0.7333333333333333,0.9651567944250871,1.3841059602649006,1.4666666666666666,1.3797909407665505,0.76,,
BACE,20276761,global,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2549668874172186,1.4090909090909092,1.2428571428571429,0.6933333333333334,0.9239766081871345,0.9618320610687023
BACE,20276761,mondrian_predclass,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2549668874172186,1.4090909090909092,1.2428571428571429,0.6933333333333334,,
BACE,20276761,mondrian_nnsim,302,22,0.9403973509933775,0.6818181818181818,0.9607142857142857,1.2649006622516556,1.4090909090909092,1.2535714285714286,0.6933333333333334,,
BACE,20284680,global,302,27,0.9205298013245033,0.7037037037037037,0.9418181818181818,1.2483443708609272,1.5555555555555556,1.2181818181818183,0.675,0.9197530864197531,0.9214285714285714
BACE,20284680,mondrian_predclass,302,27,0.9205298013245033,0.7037037037037037,0.9418181818181818,1.2483443708609272,1.5555555555555556,1.2181818181818183,0.675,,
BACE,20284680,mondrian_nnsim,302,27,0.9205298013245033,0.7037037037037037,0.9418181818181818,1.2483443708609272,1.5555555555555556,1.2181818181818183,0.675,,
BACE,20292599,global,302,25,0.8112582781456954,0.4,0.8483754512635379,1.1258278145695364,1.2,1.1191335740072201,0.605,0.8,0.8231292517006803
BACE,20292599,mondrian_predclass,302,25,0.8112582781456954,0.4,0.8483754512635379,1.1258278145695364,1.2,1.1191335740072201,0.605,,
BACE,20292599,mondrian_nnsim,302,25,0.8377483443708609,0.4,0.8772563176895307,1.1721854304635762,1.2,1.1696750902527075,0.605,,
Tox21_NR-AR,20260923,global,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,0.9249463902787706,0.23076923076923078
Tox21_NR-AR,20260923,mondrian_predclass,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,,
Tox21_NR-AR,20260923,mondrian_nnsim,1451,8,0.9000689179875948,0.0,0.9050589050589051,0.9138525155065472,0.25,0.9175329175329175,0.08499999999999996,,
Tox21_NR-AR,20268842,global,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,0.9312092686459088,0.18571428571428572
Tox21_NR-AR,20268842,mondrian_predclass,1451,10,0.8952446588559614,0.0,0.9014573213046495,0.9152308752584425,0.3,0.919500346981263,0.07999999999999996,,
