signal,subgroup,auc,n_ds,n_mol
rf_std,cliffB,0.4865024850860219,8,1143
rf_std,noncliffB,0.624540640776591,8,23074
d_wstd,cliffB,0.5286365335481726,8,1143
d_wstd,noncliffB,0.6472520705100007,8,23074
d_std,cliffB,0.5329841105102435,8,1143
d_std,noncliffB,0.6421473978559213,8,23074
d_iqr,cliffB,0.4956132220000738,8,1143
d_iqr,noncliffB,0.612260280008432,8,23074
d_nb,cliffB,0.5857660361860586,8,1143
d_nb,noncliffB,0.5573989651057661,8,23074
d_nn_sim,cliffB,0.47152935749543873,8,1143
d_nn_sim,noncliffB,0.6573393995557116,8,23074
d_pair_gap,cliffB,0.48966853859129605,8,1143
d_pair_gap,noncliffB,0.5033823471813168,8,23074
