detector,auc_mean,auc_sd,n,auc_ds_mean,auc_ds_sd,n_ds
oracle,0.8463696759462236,0.08249333340956656,48,0.8463696759462236,0.036719042910206105,8
naive_proxy,0.661741325428991,0.11101814159746295,48,0.661741325428991,0.07475932193585684,8
rf_std,0.6262479608612065,0.040569714114227114,48,0.6262479608612066,0.02493024018474222,8
d_nn_sim,0.6153985505729543,0.05304601617266243,48,0.6153985505729543,0.03647460870659522,8
d_iqr,0.6118552205342931,0.050017506236843735,48,0.6118552205342931,0.028914272914922823,8
d_nb,0.6111384141794702,0.06296754777196835,48,0.6111384141794702,0.052148235249361116,8
d_wstd,0.5916198746832372,0.060036857226421846,48,0.5916198746832371,0.04505731518848797,8
d_std,0.5882082422530978,0.060097447993528064,48,0.5882082422530976,0.04460766388970661,8
d_range,0.5453622530741813,0.061378368508741336,48,0.5453622530741813,0.047468952410007474,8
d_pair_gap,0.46295035032768933,0.05799896089855245,48,0.46295035032768933,0.04515345781478389,8
