signal,subgroup,auc,n_ds,n_mol
rf_std,cliffB,0.5382951625377547,13,1087
rf_std,noncliffB,0.5472482414898323,15,21858
d_wstd,cliffB,0.4839595863901488,13,1087
d_wstd,noncliffB,0.6296647516600244,15,21858
d_std,cliffB,0.49502715872997843,13,1087
d_std,noncliffB,0.6253745019616452,15,21858
d_iqr,cliffB,0.4858107454882842,13,1087
d_iqr,noncliffB,0.6069510694438808,15,21858
d_nb,cliffB,0.5799341546428125,13,1087
d_nb,noncliffB,0.5782507375837251,15,21858
d_nn_sim,cliffB,0.4819047462934702,13,1087
d_nn_sim,noncliffB,0.546048694577993,15,21858
d_pair_gap,cliffB,0.5057885477938638,13,1087
d_pair_gap,noncliffB,0.49500373374384654,15,21858
