detector,auc_mean,auc_sd,n,auc_ds_mean,auc_ds_sd,n_ds
naive_proxy,0.7743771409489735,0.10186045049323662,60,0.7743771409489735,0.0636659274866104,15
d_nb,0.615820443708569,0.06315507480792673,60,0.615820443708569,0.05567229783587111,15
oracle,0.6149640286152415,0.1272541494402555,60,0.6149640286152415,0.08432824568701064,15
d_iqr,0.6083320205117939,0.07093711096264864,60,0.6083320205117939,0.05241311515995475,15
d_wstd,0.5654245568583869,0.07521743102659824,60,0.5654245568583869,0.06032166303635355,15
d_std,0.5626623736774267,0.07498007146147952,60,0.5626623736774267,0.06037472524297709,15
rf_std,0.5545238360472028,0.05258527952960652,60,0.5545238360472028,0.027568186997620744,15
d_nn_sim,0.5431503415154555,0.05399266081953905,60,0.5431503415154555,0.035164447977267074,15
d_range,0.5186429964633905,0.07949351284172262,60,0.5186429964633905,0.0687227563592803,15
d_pair_gap,0.4561166825776555,0.057982801269428605,60,0.4561166825776555,0.04083183527592731,15
