signal,subgroup,auc,n_ds,n_mol
rf_std,cliffB,0.5322879443590215,13,1087
rf_std,noncliffB,0.5583219009743886,15,21858
d_wstd,cliffB,0.48430939814063123,13,1087
d_wstd,noncliffB,0.6298720693243649,15,21858
d_std,cliffB,0.4979544676683953,13,1087
d_std,noncliffB,0.6255853596898271,15,21858
d_iqr,cliffB,0.48452613898562896,13,1087
d_iqr,noncliffB,0.6094739442531176,15,21858
d_nb,cliffB,0.5741381610012731,13,1087
d_nb,noncliffB,0.5764950539374275,15,21858
d_nn_sim,cliffB,0.48612061094541537,13,1087
d_nn_sim,noncliffB,0.5457419609450417,15,21858
d_pair_gap,cliffB,0.4941906421498665,13,1087
d_pair_gap,noncliffB,0.498085474562643,15,21858
