seed,detector,auc,n_bad,n_test,dataset
71339737,d_nb,0.6703404684761247,67,629,CHEMBL233_Ki
71339737,d_wstd,0.52692147158786,67,629,CHEMBL233_Ki
71339737,d_std,0.5237165344940672,67,629,CHEMBL233_Ki
71339737,d_range,0.48676286446842765,67,629,CHEMBL233_Ki
71339737,d_iqr,0.5733796296296296,67,629,CHEMBL233_Ki
71339737,d_pair_gap,0.40266638338556326,67,629,CHEMBL233_Ki
71339737,d_nn_sim,0.7138811042871623,67,629,CHEMBL233_Ki
71339737,naive_proxy,0.35123523093447906,67,629,CHEMBL233_Ki
71339737,oracle,0.9473684210526315,67,629,CHEMBL233_Ki
71339737,rf_std,0.7752164444680512,67,629,CHEMBL233_Ki
99182118,d_nb,0.6778265963678969,60,629,CHEMBL233_Ki
99182118,d_wstd,0.5381125226860254,60,629,CHEMBL233_Ki
99182118,d_std,0.536706878758763,60,629,CHEMBL233_Ki
99182118,d_range,0.47818582968577633,60,629,CHEMBL233_Ki
99182118,d_iqr,0.5582202392018343,60,629,CHEMBL233_Ki
99182118,d_pair_gap,0.417091388400703,60,629,CHEMBL233_Ki
99182118,d_nn_sim,0.5992135511191773,60,629,CHEMBL233_Ki
99182118,naive_proxy,0.6772458310919849,60,629,CHEMBL233_Ki
99182118,oracle,0.8864981172673481,60,629,CHEMBL233_Ki
99182118,rf_std,0.6969537199765671,60,629,CHEMBL233_Ki
89709943,d_nb,0.6541004891599734,58,629,CHEMBL233_Ki
89709943,d_wstd,0.5538444244604317,58,629,CHEMBL233_Ki
89709943,d_std,0.55193345323741,58,629,CHEMBL233_Ki
89709943,d_range,0.5288893884892086,58,629,CHEMBL233_Ki
89709943,d_iqr,0.5507672491039427,58,629,CHEMBL233_Ki
89709943,d_pair_gap,0.41709946252793045,58,629,CHEMBL233_Ki
89709943,d_nn_sim,0.618611360911271,58,629,CHEMBL233_Ki
89709943,naive_proxy,0.8055555555555556,58,629,CHEMBL233_Ki
89709943,oracle,0.8518518518518519,58,629,CHEMBL233_Ki
89709943,rf_std,0.7680415484026814,58,629,CHEMBL233_Ki
86921808,d_nb,0.6328180354267311,54,629,CHEMBL233_Ki
86921808,d_wstd,0.5620609318996416,54,629,CHEMBL233_Ki
86921808,d_std,0.5550896057347671,54,629,CHEMBL233_Ki
86921808,d_range,0.516774193548387,54,629,CHEMBL233_Ki
86921808,d_iqr,0.5208242714223575,54,629,CHEMBL233_Ki
86921808,d_pair_gap,0.41201288244766504,54,629,CHEMBL233_Ki
86921808,d_nn_sim,0.6018996415770609,54,629,CHEMBL233_Ki
86921808,naive_proxy,0.5244755244755245,54,629,CHEMBL233_Ki
86921808,oracle,0.847027972027972,54,629,CHEMBL233_Ki
86921808,rf_std,0.7187761674718196,54,629,CHEMBL233_Ki
89165191,d_nb,0.6900291737248259,77,629,CHEMBL233_Ki
89165191,d_wstd,0.4932753983033313,77,629,CHEMBL233_Ki
89165191,d_std,0.4927581212497414,77,629,CHEMBL233_Ki
89165191,d_range,0.4409916201117318,77,629,CHEMBL233_Ki
89165191,d_iqr,0.6212491426611797,77,629,CHEMBL233_Ki
89165191,d_pair_gap,0.40242094861660077,77,629,CHEMBL233_Ki
89165191,d_nn_sim,0.7000698324022346,77,629,CHEMBL233_Ki
89165191,naive_proxy,0.6953781512605042,77,629,CHEMBL233_Ki
89165191,oracle,0.7373949579831933,77,629,CHEMBL233_Ki
89165191,rf_std,0.80371259175607,77,629,CHEMBL233_Ki
34332121,d_nb,0.629473562687601,61,629,CHEMBL233_Ki
34332121,d_wstd,0.5775572811810948,61,629,CHEMBL233_Ki
34332121,d_std,0.5725881187486019,61,629,CHEMBL233_Ki
34332121,d_range,0.5434282427379925,61,629,CHEMBL233_Ki
34332121,d_iqr,0.6329369078814755,61,629,CHEMBL233_Ki
34332121,d_pair_gap,0.44178596167166934,61,629,CHEMBL233_Ki
34332121,d_nn_sim,0.6017479947592114,61,629,CHEMBL233_Ki
34332121,naive_proxy,0.6806526806526807,61,629,CHEMBL233_Ki
34332121,oracle,0.8892773892773893,61,629,CHEMBL233_Ki
34332121,rf_std,0.7431597783421843,61,629,CHEMBL233_Ki
57652534,d_nb,0.6623306412463039,83,629,CHEMBL233_Ki
57652534,d_wstd,0.5013248191621844,83,629,CHEMBL233_Ki
57652534,d_std,0.5030735804562677,83,629,CHEMBL233_Ki
57652534,d_range,0.44875599480670886,83,629,CHEMBL233_Ki
57652534,d_iqr,0.605427974947808,83,629,CHEMBL233_Ki
57652534,d_pair_gap,0.43895361666446003,83,629,CHEMBL233_Ki
57652534,d_nn_sim,0.6503007339498158,83,629,CHEMBL233_Ki
57652534,naive_proxy,0.5429292929292929,83,629,CHEMBL233_Ki
57652534,oracle,0.8838383838383839,83,629,CHEMBL233_Ki
57652534,rf_std,0.7428394898274416,83,629,CHEMBL233_Ki
65555877,d_nb,0.6343050065876152,77,629,CHEMBL233_Ki
65555877,d_wstd,0.6167651742099155,77,629,CHEMBL233_Ki
65555877,d_std,0.6129868026880414,77,629,CHEMBL233_Ki
65555877,d_range,0.5583893341969611,77,629,CHEMBL233_Ki
65555877,d_iqr,0.6296828437633035,77,629,CHEMBL233_Ki
65555877,d_pair_gap,0.457709862601167,77,629,CHEMBL233_Ki
65555877,d_nn_sim,0.6094783148463012,77,629,CHEMBL233_Ki
65555877,naive_proxy,0.5592705167173252,77,629,CHEMBL233_Ki
65555877,oracle,0.9442755825734549,77,629,CHEMBL233_Ki
65555877,rf_std,0.7344955768868813,77,629,CHEMBL233_Ki
80882938,d_nb,0.6163129553373455,55,629,CHEMBL233_Ki
80882938,d_wstd,0.6262167987762481,55,629,CHEMBL233_Ki
80882938,d_std,0.623835349742734,55,629,CHEMBL233_Ki
80882938,d_range,0.6167605340008344,55,629,CHEMBL233_Ki
80882938,d_iqr,0.6472,55,629,CHEMBL233_Ki
80882938,d_pair_gap,0.42884067152359834,55,629,CHEMBL233_Ki
80882938,d_nn_sim,0.5880962314003616,55,629,CHEMBL233_Ki
80882938,naive_proxy,0.6938271604938272,55,629,CHEMBL233_Ki
80882938,oracle,0.8617283950617284,55,629,CHEMBL233_Ki
80882938,rf_std,0.7818498574596136,55,629,CHEMBL233_Ki
62569839,d_nb,0.6206720132743363,64,629,CHEMBL233_Ki
62569839,d_wstd,0.5683603896103896,64,629,CHEMBL233_Ki
62569839,d_std,0.5619805194805195,64,629,CHEMBL233_Ki
62569839,d_range,0.5432142857142858,64,629,CHEMBL233_Ki
62569839,d_iqr,0.5613478260869565,64,629,CHEMBL233_Ki
62569839,d_pair_gap,0.4663716814159292,64,629,CHEMBL233_Ki
62569839,d_nn_sim,0.5974025974025974,64,629,CHEMBL233_Ki
62569839,naive_proxy,0.7222222222222222,64,629,CHEMBL233_Ki
62569839,oracle,0.9070216049382716,64,629,CHEMBL233_Ki
62569839,rf_std,0.7438882743362832,64,629,CHEMBL233_Ki
71339737,d_nb,0.7000437511568816,93,732,CHEMBL234_Ki
71339737,d_wstd,0.5596181394932402,93,732,CHEMBL234_Ki
71339737,d_std,0.5534850926672039,93,732,CHEMBL234_Ki
