signal,subgroup,auc,n_ds,n_mol
rf_std,cliffB,0.49554247431904375,15,2763
rf_std,noncliffB,0.753374858192785,15,54732
d_wstd,cliffB,0.5396846912813799,15,2763
d_wstd,noncliffB,0.6471889185191856,15,54732
d_std,cliffB,0.5468799567784743,15,2763
d_std,noncliffB,0.6419026796122889,15,54732
d_iqr,cliffB,0.5371409528056522,15,2763
d_iqr,noncliffB,0.6141847000636337,15,54732
d_nb,cliffB,0.5268692126700548,15,2763
d_nb,noncliffB,0.575351121553737,15,54732
d_nn_sim,cliffB,0.4911235038172222,15,2763
d_nn_sim,noncliffB,0.6526109207875785,15,54732
d_pair_gap,cliffB,0.5075254802836761,15,2763
d_pair_gap,noncliffB,0.4876868412192278,15,54732
