seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,global,cliffB_oracle,all,629,562,0.8934817170111288,0.8669391967033577,0.9152472310354902,2.3413515898741153,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,cliff,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,2.341351589874115,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,noncliff,599,539,0.8998330550918197,0.8731844870714133,0.921385947644609,2.3413515898741153,,,,,CHEMBL233_Ki
71339737,global,cliffA,all,629,562,0.8934817170111288,0.8669391967033577,0.9152472310354902,2.3413515898741153,,,,,CHEMBL233_Ki
71339737,global,cliffA,cliff,55,45,0.8181818181818182,0.6966954036336236,0.8981232956555033,2.341351589874115,,,,,CHEMBL233_Ki
71339737,global,cliffA,noncliff,574,517,0.9006968641114983,0.8735034457752041,0.9225626602096545,2.3413515898741153,,,,,CHEMBL233_Ki
71339737,global,__bins__,__summary__,-1,-1,,,,2.3413515898741153,0.8512396694214877,0.11542699724517902,0.7301587301587301,0.25396825396825395,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,all,629,560,0.890302066772655,0.8634695747150253,0.9123961546178522,2.354344927183474,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,cliff,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,2.253104462572933,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,noncliff,599,537,0.8964941569282137,0.86952009792137,0.9184150930809487,2.359415401204036,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,all,629,560,0.890302066772655,0.8634695747150253,0.9123961546178522,2.354344927183474,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,cliff,55,45,0.8181818181818182,0.6966954036336236,0.8981232956555033,2.2445973151225247,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,noncliff,574,515,0.8972125435540069,0.8696708680316672,0.9194729239881057,2.364860813356562,,,,,CHEMBL233_Ki
71339737,mondrian_pair,__bins__,__summary__,-1,-1,,,,2.354344927183474,0.8581081081081081,0.10022522522522526,0.746031746031746,0.23015873015873012,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,all,629,572,0.9093799682034976,0.8843914811543093,0.9293984386143911,2.5436118622732704,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,cliff,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,2.893106633369207,,,,,CHEMBL233_Ki
