detector,auc_mean,auc_sd,n,auc_ds_mean,auc_ds_sd,n_ds
oracle,0.8096883526471517,0.12939256523220136,150,0.8103473294652994,0.07233181395472207,15
rf_std,0.7426644793404409,0.05016028029328739,150,0.7426644793404408,0.03146707878925155,15
naive_proxy,0.6443309268767493,0.15220283486740943,150,0.6431009405685726,0.06375032179783575,15
d_nb,0.6337933714982859,0.07066916378523114,150,0.6337933714982859,0.055432172877298624,15
d_iqr,0.6209257006210617,0.07172171999603398,150,0.6209257006210617,0.029719278772865794,15
d_nn_sim,0.6184418268559314,0.06262938371525968,150,0.6184418268559315,0.043061745358141154,15
d_wstd,0.5672657671680487,0.07280135511217249,150,0.5672657671680487,0.04619408416676971,15
d_std,0.5637852409817528,0.07281796173737536,150,0.5637852409817528,0.04571768382166596,15
d_range,0.5167639649614514,0.07194260891300679,150,0.5167639649614514,0.05110289916842135,15
d_pair_gap,0.44142573578731087,0.06181071546520959,150,0.4414257357873109,0.042186982624219306,15
