method,comparison,n_pairs,delta_mean,delta_ci_lo,delta_ci_hi,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_ci_lo,meta_ci_hi,meta_p,meta_I2
mondrian_iqr,最差组覆盖率(按标签离散度分箱),150,0.03996610658844158,0.03392157795490957,0.04601063522197359,1.0624907518568121e-19,14,15,0.04009148527875181,0.03162596834517771,0.04855700221232591,1.6588772423261466e-20,62.200706576550004
mondrian_iqr,最差组覆盖率(按树间方差分箱),150,0.0389380007636489,0.03278036300461863,0.04509563852267917,3.812703643213246e-19,15,15,0.03834608185372329,0.032144375859518515,0.044547787847928066,8.380053103719099e-34,18.29870972250459
mondrian_iqr,"平均区间宽度(代价, - 更好)",150,0.025217971452401754,0.007650460931677445,0.042785481973126066,0.011525247561452168,8,15,0.0240778912923342,-0.008607702104040087,0.05676348468870848,0.14878485021691415,81.97575026751707
mondrian_iqr,机制悬崖组覆盖率,150,0.005858623086376068,-0.006305097287317634,0.01802234346006977,0.3950354144355117,9,15,0.004854405567517999,-0.005647102056803788,0.015355913191839786,0.3649222942737197,0.0
mondrian_iqr,边缘覆盖率(有效性),150,0.005646720890875514,0.003093067949081319,0.00820037383266971,3.7439045643154754e-05,12,15,0.005457580540422654,0.002586624301003659,0.008328536779841649,0.00019462976778528645,35.25598797354466
mondrian_nb,最差组覆盖率(按标签离散度分箱),150,0.01268795279685627,0.008125912964779526,0.017249992628933015,2.5278461190691406e-07,14,15,0.012496838366814152,0.006687133654202014,0.01830654307942629,2.48657041062613e-05,55.93550247831448
mondrian_nb,最差组覆盖率(按树间方差分箱),150,0.033467228717964745,0.027428485416004834,0.03950597201992466,1.5600530081224824e-16,15,15,0.03465608731217776,0.024792436706549948,0.04451973791780557,5.718578347783182e-12,74.13707129844137
mondrian_nb,"平均区间宽度(代价, - 更好)",150,0.030091392326021444,0.01201809152928935,0.04816469312275354,0.003351631954892953,11,15,0.02439885727272481,-0.004190194507743113,0.052987909053192735,0.0943804904264358,76.01929063618954
mondrian_nb,机制悬崖组覆盖率,150,-0.03190568737409598,-0.045003866749486726,-0.018807507998705234,7.279048992713217e-07,2,15,-0.03179955107054376,-0.05393635268871591,-0.009662749452371607,0.004869485763281813,82.35453063416794
mondrian_nb,边缘覆盖率(有效性),150,0.004735696556381371,0.0025951605872356048,0.006876232525527137,5.15604611497369e-06,13,15,0.004987815537497648,0.0030513975914374563,0.006924233483557841,4.451571589523634e-07,17.971513321414218
mondrian_nnsim,最差组覆盖率(按标签离散度分箱),150,0.009303386616524354,0.005111633968516559,0.01349513926453215,4.6737776997737353e-05,11,15,0.008750199595711486,0.002406023210776445,0.015094375980646526,0.006864891644202994,71.93743977999588
